username,alerts,rules,highest_sev,last_seen,evidence,max_risk,worst_day,band,top_driver,user_role,employment_type,home_site,privileged_account,mfa_enrolled,priority,attack_context
cont006,1,R5,low,2019-04-24 02:15:03+00:00,ACC017558,89.2,148.0,critical,anomaly,control_room_operator,employee,PIT-A,False,True,100.2,R5->M0936 Account Use Policies
supe114,2,"R1,R5",medium,2019-04-24 02:27:06+00:00,ACC017594|ACC017595|ACC017596|ACC017594,71.8,2570.0,moderate,external_foreign,supervisor,employee,PIT-B,False,True,97.8,R1->DC0002 User Account Authentication; R5->M0936 Account Use Policies
it060,2,R4,medium,2019-04-23 23:16:46+00:00,ACC004250|ACC017494,71.6,982.0,moderate,anomaly,it_service_desk,employee,HQ-WHK,True,True,97.6,R4->AN1935 Analytic 1935
cont023,2,R4,medium,2019-04-19 03:23:17+00:00,ACC000825|ACC014174,70.6,593.0,moderate,anomaly,control_room_operator,employee,PIT-A,True,True,96.6,R4->AN1935 Analytic 1935
cont008,1,R5,low,2019-04-24 02:16:43+00:00,ACC017563,85.4,205.0,critical,anomaly,control_room_operator,employee,TAILINGS-01,False,True,96.4,R5->M0936 Account Use Policies
main038,1,R5,low,2019-04-24 02:39:23+00:00,ACC017627,84.3,1459.0,high,anomaly,maintenance_engineer,employee,WORKSHOP-01,False,False,95.3,R5->M0936 Account Use Policies
cont014,1,R5,low,2019-04-24 02:34:53+00:00,ACC017615,84.1,361.0,high,anomaly,control_room_operator,employee,TAILINGS-01,False,True,95.1,R5->M0936 Account Use Policies
main028,1,R5,low,2019-04-24 02:31:00+00:00,ACC017605,83.0,1225.0,high,external_foreign,maintenance_engineer,employee,TAILINGS-01,False,True,94.0,R5->M0936 Account Use Policies
ot057,2,R4,medium,2019-04-30 21:47:32+00:00,ACC016646|ACC022613,67.9,2266.0,moderate,anomaly,ot_network_admin,employee,PIT-A,True,True,93.9,R4->AN1935 Analytic 1935
cont083,1,R5,low,2019-04-24 02:24:39+00:00,ACC017586,81.5,800.0,high,external_foreign,contractor_surveyor,contractor,PORT-WVB,False,True,92.5,R5->M0936 Account Use Policies
it063,1,R5,low,2019-04-24 02:40:40+00:00,ACC017633,79.4,1054.0,high,external_foreign,it_service_desk,employee,CAMP-01,False,True,90.4,R5->M0936 Account Use Policies
main032,1,R5,low,2019-04-24 02:21:25+00:00,ACC017578,79.4,1321.0,high,external_foreign,maintenance_engineer,employee,PIT-B,False,True,90.4,R5->M0936 Account Use Policies
ot058,1,R5,low,2019-04-24 02:33:47+00:00,ACC017612,78.7,2299.0,high,anomaly,ot_network_admin,employee,PLANT-01,True,True,89.7,R5->M0936 Account Use Policies
main033,2,R4,medium,2019-04-26 02:35:46+00:00,ACC006028|ACC019305,63.1,1346.0,low,anomaly,maintenance_engineer,employee,TAILINGS-01,True,True,89.1,R4->AN1935 Analytic 1935
cont017,1,R5,low,2019-04-24 02:34:08+00:00,ACC017613,77.5,442.0,high,anomaly,control_room_operator,employee,TAILINGS-01,False,False,88.5,R5->M0936 Account Use Policies
cont078,1,R5,low,2019-04-24 02:20:18+00:00,ACC017576,76.8,701.0,high,external_foreign,contractor_surveyor,contractor,TAILINGS-01,False,True,87.8,R5->M0936 Account Use Policies
mine099,1,R5,low,2019-04-24 02:31:33+00:00,ACC017606,76.3,1987.0,high,external_foreign,mine_planner,employee,CAMP-01,False,True,87.3,R5->M0936 Account Use Policies
cont022,1,R5,low,2019-04-24 02:36:55+00:00,ACC017619,75.6,579.0,moderate,anomaly,control_room_operator,employee,PLANT-01,False,True,86.6,R5->M0936 Account Use Policies
main048,1,R5,low,2019-04-24 02:30:31+00:00,ACC017604,75.3,1689.0,moderate,external_foreign,maintenance_engineer,employee,PLANT-01,False,True,86.3,R5->M0936 Account Use Policies
vend077,1,R5,low,2019-04-24 02:32:05+00:00,ACC017608,75.1,2786.0,moderate,external_foreign,vendor_technician,vendor,PIT-A,False,True,86.1,R5->M0936 Account Use Policies
main039,1,R5,low,2019-04-24 02:24:48+00:00,ACC017587,74.2,1472.0,moderate,external_foreign,maintenance_engineer,employee,TAILINGS-01,False,True,85.2,R5->M0936 Account Use Policies
cont018,1,R5,low,2019-04-24 02:25:25+00:00,ACC017589,73.8,470.0,moderate,external_foreign,control_room_operator,employee,PIT-A,False,True,84.8,R5->M0936 Account Use Policies
cont086,1,R5,low,2019-04-24 02:24:17+00:00,ACC017585,73.0,865.0,moderate,external_foreign,contractor_surveyor,contractor,PORT-WVB,False,True,84.0,R5->M0936 Account Use Policies
cont087,1,R5,low,2019-04-24 02:23:05+00:00,ACC017583,72.6,889.0,moderate,external_foreign,contractor_surveyor,contractor,PIT-B,False,True,83.6,R5->M0936 Account Use Policies
mine096,0,,,,,76.8,1905.0,high,external_foreign,mine_planner,employee,CAMP-01,False,True,76.8,
cont003,0,,,,,76.6,65.0,high,external_foreign,control_room_operator,employee,TAILINGS-01,False,True,76.6,
cont084,0,,,,,76.5,814.0,high,external_foreign,contractor_surveyor,contractor,PIT-B,False,True,76.5,
main036,0,,,,,76.1,1398.0,high,external_foreign,maintenance_engineer,employee,PIT-B,False,True,76.1,
main043,0,,,,,75.8,1586.0,moderate,anomaly,maintenance_engineer,employee,PLANT-01,False,False,75.8,
mine092,0,,,,,75.3,1808.0,moderate,external_foreign,mine_planner,employee,PORT-WVB,False,True,75.3,
cont016,0,,,,,74.9,404.0,moderate,external_foreign,control_room_operator,employee,PLANT-01,False,True,74.9,
supe109,0,,,,,74.9,2447.0,moderate,external_foreign,supervisor,employee,TAILINGS-01,False,True,74.9,
cont005,0,,,,,74.7,106.0,moderate,anomaly,control_room_operator,employee,TAILINGS-01,False,True,74.7,
cont007,0,,,,,74.3,163.0,moderate,anomaly,control_room_operator,employee,PIT-B,True,True,74.3,
cont019,0,,,,,74.3,481.0,moderate,anomaly,control_room_operator,employee,PIT-A,False,False,74.3,
cont020,0,,,,,74.1,511.0,moderate,external_foreign,control_room_operator,employee,PLANT-01,False,True,74.1,
supe104,0,,,,,74.0,2311.0,moderate,external_foreign,supervisor,employee,PIT-A,False,True,74.0,
cont011,0,,,,,73.9,281.0,moderate,anomaly,control_room_operator,employee,PLANT-01,False,True,73.9,
main050,0,,,,,73.2,1730.0,moderate,external_foreign,maintenance_engineer,employee,PLANT-01,False,True,73.2,
cont002,0,,,,,71.8,45.0,moderate,anomaly,control_room_operator,employee,PIT-A,False,False,71.8,
mine094,0,,,,,71.3,1869.0,moderate,egress,mine_planner,employee,HQ-WHK,False,True,71.3,
cont025,0,,,,,70.6,645.0,moderate,anomaly,control_room_operator,employee,PLANT-01,False,True,70.6,
supe105,0,,,,,70.4,2340.0,moderate,anomaly,supervisor,employee,PLANT-01,False,False,70.4,
cont024,0,,,,,70.3,619.0,moderate,external_foreign,control_room_operator,employee,PLANT-01,False,True,70.3,
main041,0,,,,,70.3,1531.0,moderate,external_foreign,maintenance_engineer,employee,PLANT-01,False,True,70.3,
vend074,0,,,,,70.1,2699.0,moderate,anomaly,vendor_technician,vendor,PLANT-01,True,True,70.1,
mine093,0,,,,,69.9,1851.0,moderate,anomaly,mine_planner,employee,HQ-WHK,False,True,69.9,
cont010,0,,,,,69.9,237.0,moderate,anomaly,control_room_operator,employee,TAILINGS-01,False,True,69.9,
cont012,0,,,,,69.8,310.0,moderate,anomaly,control_room_operator,employee,TAILINGS-01,False,False,69.8,
supe107,0,,,,,69.7,2384.0,moderate,anomaly,supervisor,employee,HQ-WHK,False,False,69.7,
main035,0,,,,,69.6,1391.0,moderate,external_foreign,maintenance_engineer,employee,WORKSHOP-01,False,True,69.6,
supe113,0,,,,,69.5,2533.0,moderate,external_foreign,supervisor,employee,TAILINGS-01,False,True,69.5,
it067,0,,,,,69.0,1153.0,moderate,external_foreign,it_service_desk,employee,HQ-WHK,False,True,69.0,
cont009,0,,,,,68.8,224.0,moderate,external_foreign,control_room_operator,employee,PIT-A,False,True,68.8,
cont013,0,,,,,68.8,318.0,moderate,anomaly,control_room_operator,employee,PIT-B,False,True,68.8,
cont004,0,,,,,68.8,98.0,moderate,external_foreign,control_room_operator,employee,TAILINGS-01,False,True,68.8,
supe111,0,,,,,68.8,2497.0,moderate,anomaly,supervisor,employee,PIT-B,False,False,68.8,
main044,0,,,,,67.9,1589.0,moderate,external_foreign,maintenance_engineer,employee,PIT-A,False,True,67.9,
main027,0,,,,,67.3,1189.0,moderate,external_foreign,maintenance_engineer,employee,WORKSHOP-01,False,True,67.3,
mine095,0,,,,,67.2,1881.0,moderate,anomaly,mine_planner,employee,HQ-WHK,False,False,67.2,
mine098,0,,,,,67.2,1950.0,moderate,anomaly,mine_planner,employee,PORT-WVB,False,False,67.2,
mine090,0,,,,,67.1,1752.0,moderate,external_foreign,mine_planner,employee,CAMP-01,False,True,67.1,
main045,0,,,,,67.1,1626.0,moderate,external_foreign,maintenance_engineer,employee,WORKSHOP-01,False,True,67.1,
supe110,0,,,,,66.9,2478.0,moderate,external_foreign,supervisor,employee,PIT-A,False,True,66.9,
cont089,0,,,,,66.8,928.0,moderate,anomaly,contractor_surveyor,contractor,PIT-B,False,False,66.8,
main034,0,,,,,66.7,1365.0,moderate,external_foreign,maintenance_engineer,employee,TAILINGS-01,False,True,66.7,
it062,0,,,,,66.5,1025.0,moderate,anomaly,it_service_desk,employee,PORT-WVB,False,False,66.5,
cont088,0,,,,,65.7,914.0,low,external_foreign,contractor_surveyor,contractor,CAMP-01,False,True,65.7,
cont085,0,,,,,65.2,837.0,low,external_foreign,contractor_surveyor,contractor,PIT-B,False,False,65.2,
cont082,0,,,,,65.0,775.0,low,external_foreign,contractor_surveyor,contractor,PIT-A,False,True,65.0,
mine102,0,,,,,64.8,2052.0,low,external_foreign,mine_planner,employee,CAMP-01,False,True,64.8,
mine097,0,,,,,63.7,1924.0,low,external_foreign,mine_planner,employee,HQ-WHK,False,True,63.7,
mine091,0,,,,,63.0,1777.0,low,anomaly,mine_planner,employee,PORT-WVB,False,False,63.0,
supe108,0,,,,,62.9,2406.0,low,anomaly,supervisor,employee,PIT-A,False,False,62.9,
main040,0,,,,,62.9,1504.0,low,external_foreign,maintenance_engineer,employee,PIT-A,False,True,62.9,
mine103,0,,,,,62.8,2082.0,low,external_foreign,mine_planner,employee,PORT-WVB,False,True,62.8,
mine100,0,,,,,62.4,1994.0,low,external_foreign,mine_planner,employee,CAMP-01,False,True,62.4,
main031,0,,,,,62.3,1281.0,low,external_foreign,maintenance_engineer,employee,PIT-B,False,True,62.3,
mine101,0,,,,,62.0,2032.0,low,anomaly,mine_planner,employee,HQ-WHK,False,True,62.0,
cont079,0,,,,,61.4,727.0,low,external_foreign,contractor_surveyor,contractor,CAMP-01,False,True,61.4,
main046,0,,,,,60.9,1647.0,low,external_foreign,maintenance_engineer,employee,PLANT-01,False,True,60.9,
it064,0,,,,,59.9,1064.0,low,external_foreign,it_service_desk,employee,PORT-WVB,False,True,59.9,
it065,0,,,,,59.4,1084.0,low,external_foreign,it_service_desk,employee,PORT-WVB,False,True,59.4,
38 accounts,1,R2,high,2019-04-24 02:00:00+00:00,ACC017556|ACC017557|ACC017558|ACC017559|ACC017560|ACC017561|ACC017562|ACC017563|ACC017564|ACC017565|ACC017566|ACC017568|ACC017569|ACC017570|ACC017571,,,,,,,,,,33.0,R2->M0927 Password Policies
