ticket_id,category,ticket_text,nearest_attack_id,nearest_attack_name,nearest_attack_class,similarity
TKT00319,security_incident,Antivirus on the engineering workstation flagged Emotet after a contractor connected a USB drive at TAILINGS-01. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.311
TKT00043,security_incident,Antivirus on the engineering workstation flagged Industroyer after a contractor connected a USB drive at HQ-WHK. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.311
TKT00252,security_incident,Antivirus on the engineering workstation flagged TRITON after a contractor connected a USB drive at HQ-WHK. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.311
TKT00013,security_incident,Antivirus on the engineering workstation flagged BlackEnergy after a contractor connected a USB drive at PIT-B. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.311
TKT00067,security_incident,Antivirus on the engineering workstation flagged TRITON after a contractor connected a USB drive at PIT-A. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.311
TKT00145,security_incident,Antivirus on the engineering workstation flagged TRITON after a contractor connected a USB drive at PIT-B. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.311
TKT00085,security_incident,Antivirus on the engineering workstation flagged Ryuk after a contractor connected a USB drive at CAMP-01. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.311
TKT00088,security_incident,Antivirus on the engineering workstation flagged Industroyer after a contractor connected a USB drive at PORT-WVB. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.295
TKT00127,security_incident,Antivirus on the engineering workstation flagged Industroyer after a contractor connected a USB drive at TAILINGS-01. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.29
TKT00286,security_incident,Antivirus on the engineering workstation flagged TRITON after a contractor connected a USB drive at CAMP-01. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.29
TKT00153,security_incident,Antivirus on the engineering workstation flagged BlackEnergy after a contractor connected a USB drive at CAMP-01. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.29
TKT00099,network_fault,Firewall rule change blocked Modbus/TCP polling to AST-0127; control room lost trend data until the rule was reverted.,T0885,Commonly Used Port,technique,0.272
TKT00049,network_fault,Firewall rule change blocked Modbus/TCP polling to AST-0068; control room lost trend data until the rule was reverted.,T0885,Commonly Used Port,technique,0.272
TKT00218,network_fault,Intermittent link loss between the HQ-WHK radio bridge and the core switch. Modbus/TCP sessions from AST-0136 time out during the fault window.,T0885,Commonly Used Port,technique,0.267
TKT00258,network_fault,"High latency on the PIT-A microwave backhaul. Telemetry from AST-0194 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.263
TKT00240,network_fault,"High latency on the PIT-A microwave backhaul. Telemetry from AST-0161 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.263
TKT00205,network_fault,"High latency on the HQ-WHK microwave backhaul. Telemetry from AST-0084 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.263
TKT00287,network_fault,"High latency on the PIT-A microwave backhaul. Telemetry from AST-0138 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.263
TKT00243,network_fault,"High latency on the PIT-B microwave backhaul. Telemetry from AST-0021 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.263
TKT00289,network_fault,"High latency on the PIT-B microwave backhaul. Telemetry from AST-0170 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.263
TKT00096,network_fault,"High latency on the PIT-B microwave backhaul. Telemetry from AST-0010 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.263
TKT00184,network_fault,"High latency on the HQ-WHK microwave backhaul. Telemetry from AST-0138 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.263
TKT00158,security_incident,Unusual Modbus/TCP traffic observed from AST-0076 at PIT-A towards 195.4.170.199. Volume far above the normal baseline for this device. Suspected scanning activity.,T0885,Commonly Used Port,technique,0.253
TKT00072,network_fault,"High latency on the PLANT-01 microwave backhaul. Telemetry from AST-0021 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.25
TKT00046,network_fault,"High latency on the PLANT-01 microwave backhaul. Telemetry from AST-0005 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.25
TKT00091,security_incident,Repeated failed remote logins for account supe108 from 91.157.36.23 against the CCTV recorder on AST-0131. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.233
TKT00086,network_fault,"High latency on the PORT-WVB microwave backhaul. Telemetry from AST-0162 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.228
TKT00164,security_incident,Repeated failed remote logins for account mine102 from 143.215.38.78 against the fleet management portal on AST-0110. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.227
TKT00011,security_incident,Repeated failed remote logins for account cont015 from 137.196.215.105 against the fleet management portal on AST-0017. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.227
TKT00256,security_incident,Repeated failed remote logins for account mine093 from 145.43.107.60 against the fleet management portal on AST-0144. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.227
TKT00211,security_incident,Repeated failed remote logins for account main046 from 200.245.187.32 against the fleet management portal on AST-0157. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.227
TKT00023,access_request,Contractor mine102 requires temporary remote access to the fleet management portal at PIT-A for a commissioning task. Approval and MFA enrolment required before access is granted.,M0935,Limit Access to Resource Over Network,mitigation,0.224
TKT00255,network_fault,"High latency on the TAILINGS-01 microwave backhaul. Telemetry from AST-0007 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.218
TKT00191,network_fault,"High latency on the WORKSHOP-01 microwave backhaul. Telemetry from AST-0037 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.218
TKT00048,network_fault,"High latency on the CAMP-01 microwave backhaul. Telemetry from AST-0109 arriving late, historian shows gaps of several minutes.",A0006,Data Historian,asset,0.218
TKT00254,security_incident,Repeated failed remote logins for account it066 from 156.220.114.190 against the historian on AST-0117. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.217
TKT00303,security_incident,Repeated failed remote logins for account mine099 from 216.116.135.112 against the historian on AST-0193. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.217
TKT00113,security_incident,Repeated failed remote logins for account mine103 from 176.95.169.85 against the maintenance portal on AST-0087. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.216
TKT00069,security_incident,Repeated failed remote logins for account it063 from 124.69.186.228 against the maintenance portal on AST-0089. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.216
TKT00183,security_incident,Vendor account it064 logged into the OT jump host outside the approved maintenance window and opened the CCTV recorder. No change ticket exists for this work.,AN1857,Analytic 1857,analytic,0.214
TKT00212,access_request,Contractor it062 requires temporary remote access to the historian at PIT-B for a commissioning task. Approval and MFA enrolment required before access is granted.,M0935,Limit Access to Resource Over Network,mitigation,0.212
TKT00124,access_request,Contractor supe107 requires temporary remote access to the CCTV recorder at TAILINGS-01 for a commissioning task. Approval and MFA enrolment required before access is granted.,M0935,Limit Access to Resource Over Network,mitigation,0.209
TKT00140,security_incident,Vendor account ot051 logged into the OT jump host outside the approved maintenance window and opened the fleet management portal. No change ticket exists for this work.,AN1857,Analytic 1857,analytic,0.209
TKT00060,instrumentation,"Sensor AST-0145 at PIT-A reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",T1692.002,Reporting Message,technique,0.207
TKT00203,instrumentation,"Sensor AST-0003 at PIT-A reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",T1692.002,Reporting Message,technique,0.207
TKT00266,instrumentation,"Sensor AST-0094 at HQ-WHK reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",T1692.002,Reporting Message,technique,0.207
TKT00206,instrumentation,"Sensor AST-0029 at HQ-WHK reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",T1692.002,Reporting Message,technique,0.207
TKT00190,security_incident,Repeated failed remote logins for account cont085 from 16.106.30.229 against the SCADA HMI on AST-0087. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.206
TKT00118,security_incident,Repeated failed remote logins for account main043 from 211.228.88.171 against the SCADA HMI on AST-0135. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.206
TKT00194,security_incident,Repeated failed remote logins for account mine101 from 78.169.242.66 against the SCADA HMI on AST-0102. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.206
TKT00235,mechanical,Crusher liner wear beyond limit at HQ-WHK. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.205
TKT00172,mechanical,Crusher liner wear beyond limit at PIT-A. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.205
TKT00079,mechanical,Crusher liner wear beyond limit at HQ-WHK. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.205
TKT00051,mechanical,Crusher liner wear beyond limit at PIT-A. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.205
TKT00260,mechanical,Crusher liner wear beyond limit at PIT-B. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.205
TKT00283,mechanical,Crusher liner wear beyond limit at PIT-A. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.205
TKT00189,mechanical,Crusher liner wear beyond limit at PIT-A. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.205
TKT00034,mechanical,Crusher liner wear beyond limit at PIT-B. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.205
TKT00087,mechanical,Crusher liner wear beyond limit at PIT-A. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.205
TKT00131,access_request,Contractor main048 requires temporary remote access to the fleet management portal at CAMP-01 for a commissioning task. Approval and MFA enrolment required before access is granted.,M0935,Limit Access to Resource Over Network,mitigation,0.204
TKT00316,security_incident,Vendor account main046 logged into the OT jump host outside the approved maintenance window and opened the historian. No change ticket exists for this work.,AN1857,Analytic 1857,analytic,0.202
TKT00055,security_incident,Vendor account cont013 logged into the OT jump host outside the approved maintenance window and opened the historian. No change ticket exists for this work.,AN1857,Analytic 1857,analytic,0.202
TKT00157,access_request,Contractor supe105 requires temporary remote access to the historian at TAILINGS-01 for a commissioning task. Approval and MFA enrolment required before access is granted.,M0935,Limit Access to Resource Over Network,mitigation,0.195
TKT00300,access_request,Contractor mine102 requires temporary remote access to the historian at CAMP-01 for a commissioning task. Approval and MFA enrolment required before access is granted.,M0935,Limit Access to Resource Over Network,mitigation,0.195
TKT00136,security_incident,Vendor account mine094 logged into the OT jump host outside the approved maintenance window and opened the SCADA HMI. No change ticket exists for this work.,AN1857,Analytic 1857,analytic,0.194
TKT00253,security_incident,Repeated failed remote logins for account cont003 from 182.30.242.22 against the SCADA HMI on AST-0180. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.193
TKT00233,security_incident,Vendor account cont081 logged into the OT jump host outside the approved maintenance window and opened the maintenance portal. No change ticket exists for this work.,AN1857,Analytic 1857,analytic,0.192
TKT00245,security_incident,Vendor account it067 logged into the OT jump host outside the approved maintenance window and opened the maintenance portal. No change ticket exists for this work.,AN1857,Analytic 1857,analytic,0.192
TKT00195,access_request,Offboarding: disable account supe108 and revoke remote access tokens issued for PIT-B.,M0935,Limit Access to Resource Over Network,mitigation,0.191
TKT00174,access_request,Offboarding: disable account main028 and revoke remote access tokens issued for PIT-A.,M0935,Limit Access to Resource Over Network,mitigation,0.191
TKT00128,access_request,Offboarding: disable account ot052 and revoke remote access tokens issued for HQ-WHK.,M0935,Limit Access to Resource Over Network,mitigation,0.191
TKT00236,access_request,Offboarding: disable account main027 and revoke remote access tokens issued for HQ-WHK.,M0935,Limit Access to Resource Over Network,mitigation,0.191
TKT00132,security_incident,Repeated failed remote logins for account it064 from 112.238.161.97 against the PLC engineering workstation on AST-0120. SOC asked to review; account temporarily disabled pending confirmation.,M0936,Account Use Policies,mitigation,0.191
TKT00250,access_request,Offboarding: disable account cont089 and revoke remote access tokens issued for PIT-B.,M0935,Limit Access to Resource Over Network,mitigation,0.191
TKT00274,access_request,Offboarding: disable account cont010 and revoke remote access tokens issued for HQ-WHK.,M0935,Limit Access to Resource Over Network,mitigation,0.191
TKT00312,access_request,Offboarding: disable account cont017 and revoke remote access tokens issued for PIT-B.,M0935,Limit Access to Resource Over Network,mitigation,0.191
TKT00227,access_request,Contractor cont014 requires temporary remote access to the SCADA HMI at PORT-WVB for a commissioning task. Approval and MFA enrolment required before access is granted.,M0935,Limit Access to Resource Over Network,mitigation,0.188
TKT00262,network_fault,Firewall rule change blocked HTTPS polling to AST-0099; control room lost trend data until the rule was reverted.,S0607,KillDisk,malware,0.187
TKT00244,network_fault,Firewall rule change blocked HTTPS polling to AST-0162; control room lost trend data until the rule was reverted.,S0607,KillDisk,malware,0.187
TKT00005,network_fault,Firewall rule change blocked HTTPS polling to AST-0118; control room lost trend data until the rule was reverted.,S0607,KillDisk,malware,0.187
TKT00263,network_fault,Firewall rule change blocked HTTPS polling to AST-0070; control room lost trend data until the rule was reverted.,S0607,KillDisk,malware,0.187
TKT00294,mechanical,Conveyor drive bearing at PIT-B running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,DC0005,Scheduled Job Metadata,data_component,0.185
TKT00320,mechanical,Conveyor drive bearing at PIT-A running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,DC0005,Scheduled Job Metadata,data_component,0.185
TKT00297,mechanical,Conveyor drive bearing at PIT-A running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,DC0005,Scheduled Job Metadata,data_component,0.185
TKT00306,mechanical,Conveyor drive bearing at HQ-WHK running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,DC0005,Scheduled Job Metadata,data_component,0.185
TKT00193,mechanical,Conveyor drive bearing at HQ-WHK running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,DC0005,Scheduled Job Metadata,data_component,0.185
TKT00307,mechanical,Conveyor drive bearing at HQ-WHK running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,DC0005,Scheduled Job Metadata,data_component,0.185
TKT00107,access_request,Contractor mine102 requires temporary remote access to the SCADA HMI at CAMP-01 for a commissioning task. Approval and MFA enrolment required before access is granted.,M0935,Limit Access to Resource Over Network,mitigation,0.185
TKT00143,network_fault,DHCP exhaustion at PORT-WVB; new devices cannot obtain an address. Affected range includes 148.0.235.72.,M0807,Network Allowlists,mitigation,0.183
TKT00234,security_incident,Vendor account main040 logged into the OT jump host outside the approved maintenance window and opened the PLC engineering workstation. No change ticket exists for this work.,AN1857,Analytic 1857,analytic,0.182
TKT00028,security_incident,Vendor account cont026 logged into the OT jump host outside the approved maintenance window and opened the PLC engineering workstation. No change ticket exists for this work.,AN1857,Analytic 1857,analytic,0.182
TKT00207,security_incident,Vendor account main047 logged into the OT jump host outside the approved maintenance window and opened the PLC engineering workstation. No change ticket exists for this work.,AN1857,Analytic 1857,analytic,0.182
TKT00186,security_incident,Unusual DNP3 traffic observed from AST-0126 at PORT-WVB towards 51.254.174.183. Volume far above the normal baseline for this device. Suspected scanning activity.,T0885,Commonly Used Port,technique,0.179
TKT00120,security_incident,Unusual DNP3 traffic observed from AST-0135 at PORT-WVB towards 153.38.101.96. Volume far above the normal baseline for this device. Suspected scanning activity.,T0885,Commonly Used Port,technique,0.179
TKT00154,access_request,Offboarding: disable account cont017 and revoke remote access tokens issued for PORT-WVB.,M0935,Limit Access to Resource Over Network,mitigation,0.177
TKT00125,mechanical,Crusher liner wear beyond limit at PORT-WVB. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.175
TKT00198,mechanical,Crusher liner wear beyond limit at PORT-WVB. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.175
TKT00053,access_request,Contractor main049 requires temporary remote access to the PLC engineering workstation at PORT-WVB for a commissioning task. Approval and MFA enrolment required before access is granted.,M0935,Limit Access to Resource Over Network,mitigation,0.174
TKT00200,access_request,Offboarding: disable account cont013 and revoke remote access tokens issued for TAILINGS-01.,M0935,Limit Access to Resource Over Network,mitigation,0.172
TKT00228,access_request,Offboarding: disable account it067 and revoke remote access tokens issued for TAILINGS-01.,M0935,Limit Access to Resource Over Network,mitigation,0.172
TKT00071,access_request,Offboarding: disable account mine102 and revoke remote access tokens issued for WORKSHOP-01.,M0935,Limit Access to Resource Over Network,mitigation,0.172
TKT00264,access_request,Offboarding: disable account cont081 and revoke remote access tokens issued for TAILINGS-01.,M0935,Limit Access to Resource Over Network,mitigation,0.172
TKT00178,access_request,Offboarding: disable account supe114 and revoke remote access tokens issued for CAMP-01.,M0935,Limit Access to Resource Over Network,mitigation,0.172
TKT00106,access_request,Offboarding: disable account it061 and revoke remote access tokens issued for CAMP-01.,M0935,Limit Access to Resource Over Network,mitigation,0.172
TKT00009,access_request,Offboarding: disable account main049 and revoke remote access tokens issued for WORKSHOP-01.,M0935,Limit Access to Resource Over Network,mitigation,0.172
TKT00121,access_request,Offboarding: disable account cont082 and revoke remote access tokens issued for TAILINGS-01.,M0935,Limit Access to Resource Over Network,mitigation,0.172
TKT00278,instrumentation,"Sensor AST-0114 at PORT-WVB reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",T1692.002,Reporting Message,technique,0.171
TKT00129,security_incident,Possible credential sharing: the same account it063 authenticated from 188.85.212.235 and a second address within a few minutes. Access review requested for PIT-A.,T0859,Valid Accounts,technique,0.171
TKT00066,security_incident,Possible credential sharing: the same account supe113 authenticated from 59.49.201.143 and a second address within a few minutes. Access review requested for PIT-B.,T0859,Valid Accounts,technique,0.171
TKT00152,instrumentation,"Sensor AST-0182 at PORT-WVB reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",T1692.002,Reporting Message,technique,0.171
TKT00226,security_incident,Possible credential sharing: the same account cont024 authenticated from 156.235.207.197 and a second address within a few minutes. Access review requested for PIT-B.,T0859,Valid Accounts,technique,0.171
TKT00175,instrumentation,"Sensor AST-0167 at PORT-WVB reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",T1692.002,Reporting Message,technique,0.171
TKT00015,security_incident,Possible credential sharing: the same account cont081 authenticated from 12.221.179.177 and a second address within a few minutes. Access review requested for PIT-A.,T0859,Valid Accounts,technique,0.171
TKT00134,mechanical,Conveyor drive bearing at PORT-WVB running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,DC0005,Scheduled Job Metadata,data_component,0.168
TKT00115,access_request,Account main049 requests privilege elevation on AST-0166 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00162,access_request,Account it060 requests privilege elevation on AST-0054 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00246,access_request,Account main038 requests privilege elevation on AST-0108 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00102,access_request,Account cont086 requests privilege elevation on AST-0161 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00050,access_request,Account mine095 requests privilege elevation on AST-0019 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00003,access_request,Account vend077 requests privilege elevation on AST-0083 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00084,access_request,Account main046 requests privilege elevation on AST-0147 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00217,access_request,Account mine091 requests privilege elevation on AST-0145 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00199,access_request,Account main032 requests privilege elevation on AST-0182 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00222,access_request,Account mine095 requests privilege elevation on AST-0112 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00275,mechanical,Conveyor drive bearing at PORT-WVB running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,DC0005,Scheduled Job Metadata,data_component,0.168
TKT00020,access_request,Account cont017 requests privilege elevation on AST-0172 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00018,access_request,Account vend071 requests privilege elevation on AST-0191 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00311,access_request,Account cont006 requests privilege elevation on AST-0141 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00214,access_request,Account mine099 requests privilege elevation on AST-0015 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00188,access_request,Account mine093 requests privilege elevation on AST-0022 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00295,access_request,Account it068 requests privilege elevation on AST-0151 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00019,access_request,Account cont021 requests privilege elevation on AST-0125 to complete firmware maintenance.,M0936,Account Use Policies,mitigation,0.168
TKT00146,mechanical,Crusher liner wear beyond limit at TAILINGS-01. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.166
TKT00064,mechanical,Crusher liner wear beyond limit at WORKSHOP-01. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.166
TKT00302,mechanical,Crusher liner wear beyond limit at CAMP-01. Production rate reduced until the liner is replaced.,M0935,Limit Access to Resource Over Network,mitigation,0.166
