ticket_id,category,ips_found,assets_found,users_found,sites_found,protos_found,malwares_found,n_indicators,gt_entities
TKT00157,access_request,,,supe105,TAILINGS-01,,,2,site=TAILINGS-01|target=historian|user=supe105
TKT00317,instrumentation,,AST-0081,,TAILINGS-01,,,2,asset=AST-0081|site=TAILINGS-01
TKT00264,access_request,,,cont081,TAILINGS-01,,,2,site=TAILINGS-01|user=cont081
TKT00104,security_incident,189.215.16.230,AST-0146,,PLANT-01,HTTPS,,4,asset=AST-0146|ip=189.215.16.230|proto=HTTPS|site=PLANT-01
TKT00103,network_fault,,AST-0006,,PIT-A,MQTT,,3,asset=AST-0006|proto=MQTT|site=PIT-A
TKT00239,network_fault,,AST-0090,,PORT-WVB,Modbus/TCP,,3,asset=AST-0090|proto=Modbus/TCP|site=PORT-WVB
TKT00043,security_incident,,,,HQ-WHK,,Industroyer,2,malware=Industroyer|site=HQ-WHK
TKT00093,security_incident,192.91.173.195,,mine090,PLANT-01,,,3,ip=192.91.173.195|site=PLANT-01|user=mine090
TKT00185,network_fault,,AST-0017,,PORT-WVB,SNMP,,3,asset=AST-0017|proto=SNMP|site=PORT-WVB
TKT00061,network_fault,69.197.221.12,,,PIT-B,,,2,ip=69.197.221.12|site=PIT-B
TKT00193,mechanical,,,,HQ-WHK,,,1,site=HQ-WHK
TKT00006,instrumentation,,,,HQ-WHK,,,1,site=HQ-WHK
TKT00007,network_fault,,AST-0123,,,DNP3,,2,asset=AST-0123|proto=DNP3
TKT00068,instrumentation,,AST-0112,,,Modbus,,2,asset=AST-0112
TKT00111,security_incident,159.25.80.120,AST-0192,,PIT-A,SNMP,,4,asset=AST-0192|ip=159.25.80.120|proto=SNMP|site=PIT-A
TKT00179,network_fault,,AST-0141,,PORT-WVB,SSH,,3,asset=AST-0141|proto=SSH|site=PORT-WVB
TKT00116,mechanical,,,,CAMP-01,,,1,site=CAMP-01
TKT00119,mechanical,,AST-0168,,CAMP-01,,,2,asset=AST-0168|site=CAMP-01
TKT00015,security_incident,12.221.179.177,,cont081,PIT-A,,,3,ip=12.221.179.177|site=PIT-A|user=cont081
TKT00155,instrumentation,,AST-0103,,,Modbus,,2,asset=AST-0103
TKT00050,access_request,,AST-0019,mine095,,,,2,asset=AST-0019|user=mine095
TKT00054,instrumentation,,AST-0114,,,,,1,asset=AST-0114
TKT00247,mechanical,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00236,access_request,,,main027,HQ-WHK,,,2,site=HQ-WHK|user=main027
TKT00080,access_request,,AST-0149,,,SNMP,,2,asset=AST-0149|proto=SNMP
TKT00076,instrumentation,,,,TAILINGS-01,,,1,site=TAILINGS-01
TKT00137,network_fault,,AST-0094,,,RDP,,2,asset=AST-0094|proto=RDP
TKT00189,mechanical,,,,PIT-A,,,1,site=PIT-A
TKT00272,instrumentation,,AST-0175,,,Modbus,,2,asset=AST-0175
TKT00309,network_fault,101.116.197.93,,,PLANT-01,,,2,ip=101.116.197.93|site=PLANT-01
TKT00003,access_request,,AST-0083,vend077,,,,2,asset=AST-0083|user=vend077
TKT00013,security_incident,,,,PIT-B,,BlackEnergy,2,malware=BlackEnergy|site=PIT-B
TKT00038,network_fault,,AST-0051,,PIT-B,RDP,,3,asset=AST-0051|proto=RDP|site=PIT-B
TKT00186,security_incident,51.254.174.183,AST-0126,,PORT-WVB,DNP3,,4,asset=AST-0126|ip=51.254.174.183|proto=DNP3|site=PORT-WVB
TKT00074,network_fault,,AST-0023,,,SNMP,,2,asset=AST-0023|proto=SNMP
TKT00265,instrumentation,,AST-0048,,WORKSHOP-01,,,2,asset=AST-0048|site=WORKSHOP-01
TKT00296,mechanical,,,,CAMP-01,,,1,site=CAMP-01
TKT00018,access_request,,AST-0191,vend071,,,,2,asset=AST-0191|user=vend071
TKT00158,security_incident,195.4.170.199,AST-0076,,PIT-A,Modbus/TCP,,4,asset=AST-0076|ip=195.4.170.199|proto=Modbus/TCP|site=PIT-A
TKT00110,security_incident,53.109.123.168,AST-0176,,TAILINGS-01,RDP,,4,asset=AST-0176|ip=53.109.123.168|proto=RDP|site=TAILINGS-01
TKT00182,instrumentation,,,,HQ-WHK,,,1,site=HQ-WHK
TKT00033,mechanical,,AST-0025,,PIT-B,,,2,asset=AST-0025|site=PIT-B
TKT00251,network_fault,,AST-0062,,PLANT-01,RDP,,3,asset=AST-0062|proto=RDP|site=PLANT-01
TKT00109,security_incident,66.229.6.42,,vend073,PLANT-01,,,3,ip=66.229.6.42|site=PLANT-01|user=vend073
TKT00180,network_fault,,AST-0124,,PIT-B,DNP3,,3,asset=AST-0124|proto=DNP3|site=PIT-B
TKT00048,network_fault,,AST-0109,,CAMP-01,,,2,asset=AST-0109|site=CAMP-01
TKT00311,access_request,,AST-0141,cont006,,,,2,asset=AST-0141|user=cont006
TKT00053,access_request,,,main049,PORT-WVB,,,2,site=PORT-WVB|target=PLC engineering workstation|user=main049
TKT00255,network_fault,,AST-0007,,TAILINGS-01,,,2,asset=AST-0007|site=TAILINGS-01
TKT00085,security_incident,,,,CAMP-01,,Ryuk,2,malware=Ryuk|site=CAMP-01
TKT00064,mechanical,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00065,mechanical,,AST-0028,,TAILINGS-01,,,2,asset=AST-0028|site=TAILINGS-01
TKT00044,mechanical,,,,PIT-A,,,1,site=PIT-A
TKT00121,access_request,,,cont082,TAILINGS-01,,,2,site=TAILINGS-01|user=cont082
TKT00302,mechanical,,,,CAMP-01,,,1,site=CAMP-01
TKT00221,instrumentation,,AST-0069,,,,,1,asset=AST-0069
TKT00128,access_request,,,ot052,HQ-WHK,,,2,site=HQ-WHK|user=ot052
TKT00163,instrumentation,,AST-0100,,,,,1,asset=AST-0100
TKT00087,mechanical,,,,PIT-A,,,1,site=PIT-A
TKT00206,instrumentation,,AST-0029,,HQ-WHK,,,2,asset=AST-0029|site=HQ-WHK
TKT00232,mechanical,,,,PLANT-01,,,1,site=PLANT-01
TKT00098,mechanical,,,,PIT-B,,,1,site=PIT-B
TKT00216,instrumentation,,,,PIT-A,,,1,site=PIT-A
TKT00305,mechanical,,,,PLANT-01,,,1,site=PLANT-01
TKT00249,instrumentation,,,,HQ-WHK,,,1,site=HQ-WHK
TKT00222,access_request,,AST-0112,mine095,,,,2,asset=AST-0112|user=mine095
TKT00122,mechanical,,AST-0019,,PIT-B,,,2,asset=AST-0019|site=PIT-B
TKT00313,mechanical,,,,CAMP-01,,,1,site=CAMP-01
TKT00231,instrumentation,,,,TAILINGS-01,,,1,site=TAILINGS-01
TKT00106,access_request,,,it061,CAMP-01,,,2,site=CAMP-01|user=it061
TKT00199,access_request,,AST-0182,main032,,,,2,asset=AST-0182|user=main032
TKT00145,security_incident,,,,PIT-B,,TRITON,2,malware=TRITON|site=PIT-B
TKT00083,mechanical,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00057,network_fault,,AST-0130,,,DNP3,,2,asset=AST-0130|proto=DNP3
TKT00143,network_fault,148.0.235.72,,,PORT-WVB,,,2,ip=148.0.235.72|site=PORT-WVB
TKT00205,network_fault,,AST-0084,,HQ-WHK,,,2,asset=AST-0084|site=HQ-WHK
TKT00088,security_incident,,,,PORT-WVB,,Industroyer,2,malware=Industroyer|site=PORT-WVB
TKT00127,security_incident,,,,TAILINGS-01,,Industroyer,2,malware=Industroyer|site=TAILINGS-01
TKT00161,instrumentation,,AST-0135,,CAMP-01,,,2,asset=AST-0135|site=CAMP-01
TKT00164,security_incident,143.215.38.78,AST-0110,mine102,,,,3,asset=AST-0110|ip=143.215.38.78|target=fleet management portal|user=mine102
TKT00175,instrumentation,,AST-0167,,PORT-WVB,,,2,asset=AST-0167|site=PORT-WVB
TKT00039,instrumentation,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00025,access_request,,AST-0176,,,HTTPS,,2,asset=AST-0176|proto=HTTPS
TKT00271,network_fault,98.149.191.217,,,PLANT-01,,,2,ip=98.149.191.217|site=PLANT-01
TKT00294,mechanical,,,,PIT-B,,,1,site=PIT-B
TKT00082,network_fault,210.92.96.235,,,HQ-WHK,,,2,ip=210.92.96.235|site=HQ-WHK
TKT00162,access_request,,AST-0054,it060,,,,2,asset=AST-0054|user=it060
TKT00268,mechanical,,AST-0105,,TAILINGS-01,,,2,asset=AST-0105|site=TAILINGS-01
TKT00301,instrumentation,,AST-0115,,,Modbus,,2,asset=AST-0115
TKT00181,mechanical,,,,PORT-WVB,,,1,site=PORT-WVB
TKT00060,instrumentation,,AST-0145,,PIT-A,,,2,asset=AST-0145|site=PIT-A
TKT00150,mechanical,,AST-0105,,HQ-WHK,,,2,asset=AST-0105|site=HQ-WHK
TKT00027,instrumentation,,AST-0071,,,,,1,asset=AST-0071
TKT00063,security_incident,,,,WORKSHOP-01,,Conficker,2,malware=Conficker|site=WORKSHOP-01
TKT00308,mechanical,,AST-0180,,PLANT-01,,,2,asset=AST-0180|site=PLANT-01
TKT00035,security_incident,,,,PIT-A,,Industroyer,2,malware=Industroyer|site=PIT-A
TKT00056,security_incident,159.119.162.245,AST-0157,,PIT-A,SNMP,,4,asset=AST-0157|ip=159.119.162.245|proto=SNMP|site=PIT-A
TKT00159,access_request,,AST-0165,,,Modbus/TCP,,2,asset=AST-0165|proto=Modbus/TCP
TKT00200,access_request,,,cont013,TAILINGS-01,,,2,site=TAILINGS-01|user=cont013
TKT00274,access_request,,,cont010,HQ-WHK,,,2,site=HQ-WHK|user=cont010
TKT00254,security_incident,156.220.114.190,AST-0117,it066,,,,3,asset=AST-0117|ip=156.220.114.190|target=historian|user=it066
TKT00129,security_incident,188.85.212.235,,it063,PIT-A,,,3,ip=188.85.212.235|site=PIT-A|user=it063
TKT00140,security_incident,,,ot051,,,,1,target=fleet management portal|user=ot051
TKT00134,mechanical,,,,PORT-WVB,,,1,site=PORT-WVB
TKT00030,security_incident,,,,HQ-WHK,,,1,malware=Emotet|site=HQ-WHK
TKT00078,mechanical,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00183,security_incident,,,it064,,,,1,target=CCTV recorder|user=it064
TKT00029,network_fault,,AST-0131,,,RDP,,2,asset=AST-0131|proto=RDP
TKT00136,security_incident,,,mine094,,,,1,target=SCADA HMI|user=mine094
TKT00207,security_incident,,,main047,,,,1,target=PLC engineering workstation|user=main047
TKT00267,mechanical,,AST-0014,,CAMP-01,,,2,asset=AST-0014|site=CAMP-01
TKT00197,mechanical,,,,PLANT-01,,,1,site=PLANT-01
TKT00278,instrumentation,,AST-0114,,PORT-WVB,,,2,asset=AST-0114|site=PORT-WVB
TKT00259,mechanical,,,,PLANT-01,,,1,site=PLANT-01
TKT00169,instrumentation,,,,TAILINGS-01,,,1,site=TAILINGS-01
TKT00108,instrumentation,,AST-0035,,,Modbus,,2,asset=AST-0035
TKT00287,network_fault,,AST-0138,,PIT-A,,,2,asset=AST-0138|site=PIT-A
TKT00167,network_fault,201.222.248.218,,,WORKSHOP-01,,,2,ip=201.222.248.218|site=WORKSHOP-01
TKT00194,security_incident,78.169.242.66,AST-0102,mine101,,,,3,asset=AST-0102|ip=78.169.242.66|target=SCADA HMI|user=mine101
TKT00100,network_fault,,AST-0148,,TAILINGS-01,SNMP,,3,asset=AST-0148|proto=SNMP|site=TAILINGS-01
TKT00022,mechanical,,AST-0012,,PIT-B,,,2,asset=AST-0012|site=PIT-B
TKT00090,mechanical,,,,PLANT-01,,,1,site=PLANT-01
TKT00142,mechanical,,AST-0061,,TAILINGS-01,,,2,asset=AST-0061|site=TAILINGS-01
