username,role,employment_type,active_days,mean_events,sd_events,mean_failures,mean_ooh,max_iso_score,flagged_days
mine091,mine_planner,employee,28,7.357142857142857,5.078745001833701,0.03571428571428571,1.1428571428571428,0.5803679564568243,0
cont001,control_room_operator,employee,28,7.714285714285714,4.319268995569118,0.21428571428571427,4.142857142857143,0.5777322408652948,0
cont016,control_room_operator,employee,27,8.148148148148149,5.354392184881088,0.25925925925925924,2.740740740740741,0.5765105954486176,0
mine092,mine_planner,employee,22,9.772727272727273,6.171607941917941,0.09090909090909091,1.5454545454545454,0.5760041520535633,0
mine093,mine_planner,employee,27,7.37037037037037,4.011024693057759,0.2222222222222222,0.48148148148148145,0.5747240919007193,0
it066,it_service_desk,employee,25,8.96,5.350077881053073,0.12,0.8,0.5737288959343821,0
ot053,ot_network_admin,employee,28,8.178571428571429,5.149998715775254,0.03571428571428571,2.357142857142857,0.5725939547425813,0
mine102,mine_planner,employee,23,7.478260869565218,5.2989670109748,0.13043478260869565,0.30434782608695654,0.5725939547425813,0
cont084,contractor_surveyor,contractor,17,8.0,5.689903338370521,0.17647058823529413,1.2941176470588236,0.5725939547425813,0
it065,it_service_desk,employee,27,5.703703703703703,3.23222731986682,0.14814814814814814,0.9259259259259259,0.5725939547425813,0
main031,maintenance_engineer,employee,25,6.4,4.301162633521313,0.08,0.8,0.5725939547425813,0
mine101,mine_planner,employee,26,7.653846153846154,5.513200940958403,0.34615384615384615,1.0,0.5699860579431025,0
it062,it_service_desk,employee,25,8.96,5.045460005457051,0.12,0.76,0.5697432456472837,0
cont009,control_room_operator,employee,25,9.12,6.603786792439622,0.16,3.96,0.5656926721585537,0
cont003,control_room_operator,employee,27,9.592592592592593,4.773800769740374,0.18518518518518517,4.444444444444445,0.5644349042536567,0
cont013,control_room_operator,employee,27,9.25925925925926,6.400676602411729,0.18518518518518517,4.0,0.5639549909926123,0
ot057,ot_network_admin,employee,28,9.035714285714286,4.646640704989987,0.14285714285714285,1.7857142857142858,0.5626430423458527,0
main027,maintenance_engineer,employee,27,8.11111111111111,4.838414658775786,0.1111111111111111,2.111111111111111,0.5614861662055929,0
supe105,supervisor,employee,25,7.08,3.850541087518307,0.16,2.68,0.559346278552671,0
mine090,mine_planner,employee,24,9.5,6.213589594765165,0.0,1.4166666666666667,0.5539313612005556,0
cont082,contractor_surveyor,contractor,23,7.434782608695652,4.460188407725739,0.13043478260869565,1.0,0.5457612070161331,0
cont079,contractor_surveyor,contractor,23,8.173913043478262,5.201854336440939,0.043478260869565216,0.5217391304347826,0.5417799441597058,0
mine094,mine_planner,employee,18,8.833333333333334,4.475423082201936,0.2222222222222222,0.7777777777777778,0.53763642107164,0
cont088,contractor_surveyor,contractor,20,7.15,3.7595492450978463,0.2,1.0,0.5375674122585581,0
main040,maintenance_engineer,employee,22,5.454545454545454,2.8739763846872957,0.3181818181818182,1.5,0.5355318660781674,0
main034,maintenance_engineer,employee,24,8.916666666666666,6.1071352899109215,0.0,2.5416666666666665,0.5340232579467309,0
supe104,supervisor,employee,26,8.076923076923077,4.507088434216279,0.11538461538461539,3.1923076923076925,0.5336657339985372,0
cont020,control_room_operator,employee,28,10.107142857142858,5.58661950201707,0.03571428571428571,3.7857142857142856,0.5326932605004641,0
main045,maintenance_engineer,employee,23,8.782608695652174,5.426840046046639,0.08695652173913043,2.0,0.5282108153792702,0
mine098,mine_planner,employee,24,8.375,5.09742049002963,0.125,0.7083333333333334,0.5261658606795292,0
supe110,supervisor,employee,24,8.125,5.202946489626147,0.0,3.4583333333333335,0.5146737771301012,0
cont002,control_room_operator,employee,24,7.125,3.6512356455219965,0.08333333333333333,2.6666666666666665,0.514464235019266,0
main035,maintenance_engineer,employee,25,6.56,4.537620521815372,0.08,2.12,0.5096295884975015,0
it067,it_service_desk,employee,21,7.904761904761905,5.584843434732633,0.09523809523809523,0.47619047619047616,0.49606972984120046,0
main033,maintenance_engineer,employee,20,6.5,2.7625312572654126,0.1,1.35,0.4953882240265003,0
main044,maintenance_engineer,employee,23,8.521739130434783,3.9642672740069944,0.13043478260869565,1.6521739130434783,0.4928127361116661,0
cont004,control_room_operator,employee,27,7.962962962962963,4.309930228611431,0.1111111111111111,3.7777777777777777,0.49158779569202093,0
supe108,supervisor,employee,27,5.666666666666667,3.0127932350101756,0.037037037037037035,2.3703703703703702,0.48923434991317327,0
it064,it_service_desk,employee,25,7.68,3.6138621999185303,0.12,1.32,0.4807762383195198,0
mine103,mine_planner,employee,23,6.521739130434782,4.241243012666231,0.043478260869565216,0.9130434782608695,0.47391947288539427,0
mine100,mine_planner,employee,23,7.521739130434782,3.3285209002497202,0.13043478260869565,0.391304347826087,0.46713757141533896,0
mine097,mine_planner,employee,24,7.958333333333333,3.804792934623686,0.16666666666666666,0.7083333333333334,0.45610831785586076,0
main046,maintenance_engineer,employee,23,6.478260869565218,3.603906532152314,0.13043478260869565,1.391304347826087,0.44056773402044475,0
