username,role,employment_type,day,risk_score,risk_band,top_driver,recommended_action,failures,out_of_hours,priv_no_mfa,foreign,bytes_out,iso_score,gt,comp_failures,comp_out_of_hours,comp_external_foreign,comp_priv_no_mfa,comp_anomaly,comp_egress
supe112,supervisor,employee,2019-04-14,77.8,high,priv_no_mfa,Investigate within the shift; verify with the account owner,0,7,5.0,0,21249694,0.5637637400837453,,43.2,91.1,49.2,99.9,94.3,90.2
main049,maintenance_engineer,employee,2019-04-24,77.8,high,anomaly,Investigate within the shift; verify with the account owner,3,3,0.0,3,6697652,0.7304600399513802,GT1_password_spray,99.7,66.4,99.6,48.1,99.7,44.8
cont015,control_room_operator,employee,2019-04-15,77.7,high,priv_no_mfa,Investigate within the shift; verify with the account owner,1,5,1.0,0,7257800,0.5848749607115069,,92.1,82.0,49.2,97.2,96.3,47.8
vend076,vendor_technician,vendor,2019-04-11,77.5,high,priv_no_mfa,Investigate within the shift; verify with the account owner,0,4,1.0,0,34230295,0.5996029755560639,,43.2,75.0,49.2,97.2,97.1,98.7
cont017,control_room_operator,employee,2019-04-24,77.5,high,external_foreign,Investigate within the shift; verify with the account owner,2,3,0.0,2,6806744,0.6883635499044207,GT1_password_spray,98.7,66.4,99.1,48.1,99.0,45.4
vend070,vendor_technician,vendor,2019-04-15,77.3,high,priv_no_mfa,Investigate within the shift; verify with the account owner,0,5,5.0,0,19556861,0.6231322373690075,,43.2,82.0,49.2,99.9,97.8,88.1
vend070,vendor_technician,vendor,2019-04-16,77.2,high,priv_no_mfa,Investigate within the shift; verify with the account owner,0,6,5.0,0,17823298,0.5992506381571288,,43.2,87.3,49.2,99.9,97.1,85.2
cont006,control_room_operator,employee,2019-04-09,77.0,high,anomaly,Investigate within the shift; verify with the account owner,1,12,0.0,0,29372610,0.5877615694144623,,92.1,98.5,49.2,48.1,96.7,96.8
vend075,vendor_technician,vendor,2019-04-30,77.0,high,anomaly,Investigate within the shift; verify with the account owner,2,5,0.0,0,37847997,0.6508773925114103,,98.7,82.0,49.2,48.1,98.4,99.1
ot052,ot_network_admin,employee,2019-04-10,76.9,high,anomaly,Investigate within the shift; verify with the account owner,1,8,0.0,0,31376023,0.6137243330359529,,92.1,94.0,49.2,48.1,97.7,97.8
mine096,mine_planner,employee,2019-04-12,76.8,high,anomaly,Investigate within the shift; verify with the account owner,1,8,0.0,0,30486613,0.6090739213561324,,92.1,94.0,49.2,48.1,97.5,97.4
cont078,contractor_surveyor,contractor,2019-04-24,76.8,high,external_foreign,Investigate within the shift; verify with the account owner,2,2,0.0,2,7107931,0.6856085230278387,GT1_password_spray,98.7,57.6,99.1,48.1,99.0,46.7
cont003,control_room_operator,employee,2019-04-16,76.6,high,anomaly,Investigate within the shift; verify with the account owner,1,13,0.0,0,29763016,0.5644349042536567,,92.1,98.9,49.2,48.1,94.4,97.1
cont026,control_room_operator,employee,2019-04-24,76.6,high,anomaly,Investigate within the shift; verify with the account owner,3,6,0.0,3,2864978,0.7252630670769638,GT1_password_spray,99.7,87.3,99.6,48.1,99.6,22.6
cont017,control_room_operator,employee,2019-04-08,76.5,high,anomaly,Investigate within the shift; verify with the account owner,1,9,0.0,0,28113944,0.5809244742711573,,92.1,96.0,49.2,48.1,95.8,96.0
cont084,contractor_surveyor,contractor,2019-04-19,76.5,high,anomaly,Investigate within the shift; verify with the account owner,1,10,0.0,0,30944467,0.5640950643099979,,92.1,97.2,49.2,48.1,94.3,97.6
mine099,mine_planner,employee,2019-04-24,76.3,high,external_foreign,Investigate within the shift; verify with the account owner,3,2,0.0,2,6109216,0.6935372588793638,GT1_password_spray,99.7,57.6,99.1,48.1,99.1,42.2
cont015,control_room_operator,employee,2019-04-23,76.2,high,priv_no_mfa,Investigate within the shift; verify with the account owner,0,4,3.0,0,21671239,0.5714528054958168,,43.2,75.0,49.2,99.1,94.8,90.7
main036,maintenance_engineer,employee,2019-04-04,76.1,high,anomaly,Investigate within the shift; verify with the account owner,1,8,0.0,0,26677758,0.576842761338615,,92.1,94.0,49.2,48.1,95.6,95.4
it068,it_service_desk,employee,2019-04-29,76.0,high,priv_no_mfa,Investigate within the shift; verify with the account owner,0,4,4.0,0,18439674,0.5912107161246918,,43.2,75.0,49.2,99.6,96.8,86.1
ot051,ot_network_admin,employee,2019-04-10,76.0,high,anomaly,Investigate within the shift; verify with the account owner,1,13,0.0,0,20249007,0.6002875238166946,,92.1,98.9,49.2,48.1,97.1,89.0
main043,maintenance_engineer,employee,2019-04-29,75.8,moderate,anomaly,Review in the daily triage queue,1,8,0.0,0,23365937,0.5811585248284344,,92.1,94.0,49.2,48.1,95.9,92.9
cont015,control_room_operator,employee,2019-04-10,75.8,moderate,priv_no_mfa,Review in the daily triage queue,0,8,3.0,0,14541005,0.5440444954976322,,43.2,94.0,49.2,99.1,92.9,77.7
main032,maintenance_engineer,employee,2019-04-08,75.8,moderate,anomaly,Review in the daily triage queue,1,7,0.0,0,32899344,0.550346440173971,,92.1,91.1,49.2,48.1,93.4,98.2
cont015,control_room_operator,employee,2019-04-04,75.7,moderate,priv_no_mfa,Review in the daily triage queue,0,8,1.0,0,14957536,0.5545688681053601,,43.2,94.0,49.2,97.2,93.7,78.9
cont026,control_room_operator,employee,2019-04-25,75.6,moderate,anomaly,Review in the daily triage queue,1,7,0.0,0,28528441,0.5559161008551008,,92.1,91.1,49.2,48.1,93.8,96.3
main029,maintenance_engineer,employee,2019-04-24,75.6,moderate,anomaly,Review in the daily triage queue,2,2,0.0,2,5438675,0.7045064860076177,GT1_password_spray,98.7,57.6,99.1,48.1,99.2,38.1
cont022,control_room_operator,employee,2019-04-30,75.6,moderate,anomaly,Review in the daily triage queue,2,5,0.0,0,21536922,0.6144981829115539,,98.7,82.0,49.2,48.1,97.7,90.4
main048,maintenance_engineer,employee,2019-04-11,75.3,moderate,anomaly,Review in the daily triage queue,1,6,0.0,0,25952079,0.5729244937484822,,92.1,87.3,49.2,48.1,95.2,95.1
mine092,mine_planner,employee,2019-04-08,75.3,moderate,anomaly,Review in the daily triage queue,2,5,0.0,0,22719572,0.5760041520535633,,98.7,82.0,49.2,48.1,95.3,92.0
supe112,supervisor,employee,2019-04-01,75.2,moderate,priv_no_mfa,Review in the daily triage queue,0,6,4.0,0,14275583,0.549531946518427,,43.2,87.3,49.2,99.6,93.3,76.9
vend077,vendor_technician,vendor,2019-04-24,75.1,moderate,external_foreign,Review in the daily triage queue,1,5,0.0,1,3713616,0.6203856928417033,GT1_password_spray,92.1,82.0,98.7,48.1,97.7,27.6
cont008,control_room_operator,employee,2019-04-11,75.0,moderate,anomaly,Review in the daily triage queue,1,9,0.0,0,22550212,0.5325370546710011,,92.1,96.0,49.2,48.1,91.5,91.7
cont014,control_room_operator,employee,2019-04-12,75.0,moderate,anomaly,Review in the daily triage queue,1,9,0.0,0,21908298,0.5368610356826853,,92.1,96.0,49.2,48.1,92.2,90.9
supe109,supervisor,employee,2019-04-22,74.9,moderate,anomaly,Review in the daily triage queue,2,10,0.0,0,14418773,0.5872809410767883,,98.7,97.2,49.2,48.1,96.6,77.1
it068,it_service_desk,employee,2019-04-16,74.9,moderate,priv_no_mfa,Review in the daily triage queue,0,1,4.0,0,23495987,0.6334998080343944,,43.2,50.8,49.2,99.6,98.1,93.1
vend075,vendor_technician,vendor,2019-04-29,74.9,moderate,anomaly,Review in the daily triage queue,1,5,0.0,0,24281914,0.5959332728071688,,92.1,82.0,49.2,48.1,97.0,93.7
cont016,control_room_operator,employee,2019-04-10,74.9,moderate,anomaly,Review in the daily triage queue,1,13,0.0,0,20557283,0.5302309453738104,,92.1,98.9,49.2,48.1,91.3,89.4
cont022,control_room_operator,employee,2019-04-24,74.8,moderate,anomaly,Review in the daily triage queue,2,4,0.0,2,2709142,0.7014225828488637,GT1_password_spray,98.7,75.0,99.1,48.1,99.2,21.6
cont005,control_room_operator,employee,2019-04-02,74.7,moderate,anomaly,Review in the daily triage queue,1,7,0.0,0,26098022,0.5216039173283247,,92.1,91.1,49.2,48.1,90.2,95.1
cont005,control_room_operator,employee,2019-04-08,74.6,moderate,anomaly,Review in the daily triage queue,1,12,0.0,0,18296419,0.5421231990836987,,92.1,98.5,49.2,48.1,92.8,86.0
ot058,ot_network_admin,employee,2019-04-23,74.6,moderate,anomaly,Review in the daily triage queue,1,4,0.0,0,29970864,0.5822780148613983,,92.1,75.0,49.2,48.1,96.1,97.2
ot054,ot_network_admin,employee,2019-04-30,74.5,moderate,anomaly,Review in the daily triage queue,1,6,0.0,0,18798859,0.6040320530817209,,92.1,87.3,49.2,48.1,97.2,86.9
cont015,control_room_operator,employee,2019-04-20,74.3,moderate,priv_no_mfa,Review in the daily triage queue,0,7,4.0,0,12613640,0.5314895228180977,,43.2,91.1,49.2,99.6,91.4,71.0
main030,maintenance_engineer,employee,2019-04-15,74.3,moderate,priv_no_mfa,Review in the daily triage queue,1,5,1.0,0,4655636,0.5223410317176878,,92.1,82.0,49.2,97.2,90.2,33.2
cont007,control_room_operator,employee,2019-04-10,74.3,moderate,anomaly,Review in the daily triage queue,1,14,0.0,0,15869297,0.5695026927321821,,92.1,99.3,49.2,48.1,94.6,81.0
cont019,control_room_operator,employee,2019-04-09,74.3,moderate,anomaly,Review in the daily triage queue,1,9,0.0,0,15971421,0.581806073046117,,92.1,96.0,49.2,48.1,96.1,81.3
main039,maintenance_engineer,employee,2019-04-09,74.2,moderate,anomaly,Review in the daily triage queue,1,10,0.0,0,18663714,0.5297861262604251,,92.1,97.2,49.2,48.1,91.2,86.6
cont020,control_room_operator,employee,2019-04-12,74.1,moderate,anomaly,Review in the daily triage queue,1,8,0.0,0,18992166,0.5326932605004641,,92.1,94.0,49.2,48.1,91.6,87.2
supe112,supervisor,employee,2019-04-04,74.0,moderate,priv_no_mfa,Review in the daily triage queue,0,7,2.0,0,12448931,0.5310629674599577,,43.2,91.1,49.2,98.5,91.4,70.3
supe104,supervisor,employee,2019-04-08,74.0,moderate,anomaly,Review in the daily triage queue,1,8,0.0,0,18566101,0.5333711723193872,,92.1,94.0,49.2,48.1,91.7,86.4
ot052,ot_network_admin,employee,2019-04-09,73.9,moderate,anomaly,Review in the daily triage queue,1,7,0.0,0,20430329,0.5244550224983898,,92.1,91.1,49.2,48.1,90.6,89.3
cont011,control_room_operator,employee,2019-04-24,73.9,moderate,anomaly,Review in the daily triage queue,1,6,0.0,0,22117127,0.527441164627353,,92.1,87.3,49.2,48.1,90.9,91.2
ot051,ot_network_admin,employee,2019-04-02,73.8,moderate,anomaly,Review in the daily triage queue,3,5,0.0,0,14259943,0.6332150734279749,,99.7,82.0,49.2,48.1,98.0,76.8
cont018,control_room_operator,employee,2019-04-25,73.8,moderate,anomaly,Review in the daily triage queue,1,9,0.0,0,18257238,0.5228520756010507,,92.1,96.0,49.2,48.1,90.3,85.9
main048,maintenance_engineer,employee,2019-04-22,73.6,moderate,anomaly,Review in the daily triage queue,1,9,0.0,0,18858328,0.5056770142201051,,92.1,96.0,49.2,48.1,88.4,87.0
cont001,control_room_operator,employee,2019-04-02,73.6,moderate,anomaly,Review in the daily triage queue,2,6,0.0,0,14100252,0.5777322408652948,,98.7,87.3,49.2,48.1,95.6,76.3
cont019,control_room_operator,employee,2019-04-10,73.5,moderate,anomaly,Review in the daily triage queue,1,2,0.0,0,34365954,0.6501928137066897,,92.1,57.6,49.2,48.1,98.3,98.7
vend073,vendor_technician,vendor,2019-04-23,73.5,moderate,anomaly,Review in the daily triage queue,1,2,0.0,0,32955311,0.6663018296767135,,92.1,57.6,49.2,48.1,98.7,98.3
vend070,vendor_technician,vendor,2019-04-26,73.3,moderate,priv_no_mfa,Review in the daily triage queue,1,3,1.0,0,4824813,0.5361958064973128,,92.1,66.4,49.2,97.2,92.0,34.1
main050,maintenance_engineer,employee,2019-04-03,73.2,moderate,anomaly,Review in the daily triage queue,1,3,0.0,0,32177268,0.5417909758961863,,92.1,66.4,49.2,48.1,92.8,98.2
supe112,supervisor,employee,2019-04-23,73.2,moderate,priv_no_mfa,Review in the daily triage queue,1,4,2.0,0,3270603,0.5439344953783951,,92.1,75.0,49.2,98.5,92.9,25.3
cont086,contractor_surveyor,contractor,2019-04-24,73.0,moderate,external_foreign,Review in the daily triage queue,2,1,0.0,1,3518984,0.6607085223704768,GT1_password_spray,98.7,50.8,98.7,48.1,98.6,26.6
supe109,supervisor,employee,2019-04-10,72.8,moderate,anomaly,Review in the daily triage queue,1,3,0.0,0,25311138,0.5510957349589511,,92.1,66.4,49.2,48.1,93.4,94.7
ot051,ot_network_admin,employee,2019-04-15,72.6,moderate,anomaly,Review in the daily triage queue,1,5,0.0,0,16858031,0.5485157209288184,,92.1,82.0,49.2,48.1,93.1,83.1
main048,maintenance_engineer,employee,2019-04-24,72.6,moderate,external_foreign,Review in the daily triage queue,1,1,0.0,1,4483882,0.608951401241685,GT1_password_spray,92.1,50.8,98.7,48.1,97.5,32.0
cont087,contractor_surveyor,contractor,2019-04-24,72.6,moderate,external_foreign,Review in the daily triage queue,2,2,0.0,2,2239188,0.6927359125422521,GT1_password_spray,98.7,57.6,99.1,48.1,99.1,18.7
main030,maintenance_engineer,employee,2019-04-04,72.4,moderate,priv_no_mfa,Review in the daily triage queue,0,9,1.0,0,11678045,0.48790811558656194,,43.2,96.0,49.2,97.2,84.2,67.8
vend070,vendor_technician,vendor,2019-04-14,72.4,moderate,priv_no_mfa,Review in the daily triage queue,0,8,1.0,0,10034871,0.5208246747680373,,43.2,94.0,49.2,97.2,90.0,61.4
it068,it_service_desk,employee,2019-04-24,72.3,moderate,priv_no_mfa,Review in the daily triage queue,0,0,4.0,0,27069173,0.5908722176992038,,43.2,23.9,49.2,99.6,96.8,95.5
vend076,vendor_technician,vendor,2019-04-30,72.1,moderate,priv_no_mfa,Review in the daily triage queue,0,1,3.0,0,18599519,0.5184326455581957,,43.2,50.8,49.2,99.1,89.7,86.5
main039,maintenance_engineer,employee,2019-04-24,72.1,moderate,external_foreign,Review in the daily triage queue,1,1,0.0,1,3952940,0.6072883471345012,GT1_password_spray,92.1,50.8,98.7,48.1,97.4,29.2
main037,maintenance_engineer,employee,2019-04-03,72.1,moderate,anomaly,Review in the daily triage queue,1,2,0.0,0,21988784,0.5893220966377424,,92.1,57.6,49.2,48.1,96.8,91.0
it059,it_service_desk,employee,2019-04-02,72.0,moderate,priv_no_mfa,Review in the daily triage queue,0,3,4.0,0,11963217,0.5623556107278422,,43.2,66.4,49.2,99.6,94.2,68.7
supe112,supervisor,employee,2019-04-21,71.9,moderate,priv_no_mfa,Review in the daily triage queue,0,6,3.0,0,11479877,0.4913788625100728,,43.2,87.3,49.2,99.1,85.0,67.2
cont002,control_room_operator,employee,2019-04-22,71.8,moderate,anomaly,Review in the daily triage queue,1,8,0.0,0,13791092,0.514464235019266,,92.1,94.0,49.2,48.1,89.2,75.4
cont081,contractor_surveyor,contractor,2019-04-24,71.8,moderate,anomaly,Review in the daily triage queue,3,3,0.0,3,0,0.7299352084218983,GT1_password_spray,99.7,66.4,99.6,48.1,99.7,5.1
vend072,vendor_technician,vendor,2019-04-24,71.8,moderate,external_foreign,Review in the daily triage queue,3,3,0.0,3,0,0.7171874815251992,GT1_password_spray,99.7,66.4,99.6,48.1,99.5,5.1
supe114,supervisor,employee,2019-04-24,71.8,moderate,external_foreign,Review in the daily triage queue,3,3,0.0,3,0,0.7181822754171915,GT1_password_spray,99.7,66.4,99.6,48.1,99.5,5.1
vend076,vendor_technician,vendor,2019-04-24,71.8,moderate,external_foreign,Review in the daily triage queue,3,3,0.0,3,0,0.7171874815251992,GT1_password_spray,99.7,66.4,99.6,48.1,99.5,5.1
main028,maintenance_engineer,employee,2019-04-15,71.7,moderate,anomaly,Review in the daily triage queue,1,8,0.0,0,16238923,0.4868457149870349,,92.1,94.0,49.2,48.1,83.9,81.7
it060,it_service_desk,employee,2019-04-23,71.6,moderate,anomaly,Review in the daily triage queue,1,6,0.0,0,14824464,0.5148162384305573,,92.1,87.3,49.2,48.1,89.3,78.4
cont016,control_room_operator,employee,2019-04-09,71.5,moderate,anomaly,Review in the daily triage queue,1,10,0.0,0,13203143,0.5014584934572424,,92.1,97.2,49.2,48.1,87.5,73.5
supe112,supervisor,employee,2019-04-12,71.4,moderate,priv_no_mfa,Review in the daily triage queue,0,8,1.0,0,11688549,0.47495459086459113,,43.2,94.0,49.2,97.2,80.4,67.9
mine094,mine_planner,employee,2019-04-30,71.3,moderate,anomaly,Review in the daily triage queue,1,2,0.0,0,32073429,0.5026898191668813,,92.1,57.6,49.2,48.1,87.9,98.1
vend070,vendor_technician,vendor,2019-04-11,71.3,moderate,priv_no_mfa,Review in the daily triage queue,0,0,3.0,0,22034570,0.5798225232251457,,43.2,23.9,49.2,99.1,95.7,91.1
cont015,control_room_operator,employee,2019-04-16,71.2,moderate,priv_no_mfa,Review in the daily triage queue,0,10,1.0,0,8454950,0.5027830839138716,,43.2,97.2,49.2,97.2,87.9,54.3
ot058,ot_network_admin,employee,2019-04-25,71.1,moderate,anomaly,Review in the daily triage queue,1,6,0.0,0,12325012,0.5488375394445586,,92.1,87.3,49.2,48.1,93.2,69.9
cont006,control_room_operator,employee,2019-04-06,71.1,moderate,anomaly,Review in the daily triage queue,1,8,0.0,0,13430140,0.49510754673275614,,92.1,94.0,49.2,48.1,86.0,74.4
cont005,control_room_operator,employee,2019-04-15,71.0,moderate,anomaly,Review in the daily triage queue,1,11,0.0,0,11542753,0.5137001662500448,,92.1,98.0,49.2,48.1,89.1,67.2
supe112,supervisor,employee,2019-04-03,71.0,moderate,priv_no_mfa,Review in the daily triage queue,0,3,3.0,0,16273104,0.4724596297200131,,43.2,66.4,49.2,99.1,79.8,81.8
ot052,ot_network_admin,employee,2019-04-12,71.0,moderate,anomaly,Review in the daily triage queue,1,2,0.0,0,21580155,0.5363845488343606,,92.1,57.6,49.2,48.1,92.1,90.5
vend073,vendor_technician,vendor,2019-04-30,70.9,moderate,anomaly,Review in the daily triage queue,2,0,0.0,0,31389276,0.6234010599883733,,98.7,23.9,49.2,48.1,97.9,97.8
cont015,control_room_operator,employee,2019-04-02,70.8,moderate,priv_no_mfa,Review in the daily triage queue,0,6,1.0,0,10837007,0.48395831289449454,,43.2,87.3,49.2,97.2,82.9,64.5
cont026,control_room_operator,employee,2019-04-22,70.8,moderate,anomaly,Review in the daily triage queue,1,6,0.0,0,18119062,0.47126536393102886,,92.1,87.3,49.2,48.1,79.4,85.7
ot054,ot_network_admin,employee,2019-04-24,70.8,moderate,anomaly,Review in the daily triage queue,3,2,0.0,2,0,0.7100355484453637,GT1_password_spray,99.7,57.6,99.1,48.1,99.4,5.1
cont005,control_room_operator,employee,2019-04-17,70.6,moderate,anomaly,Review in the daily triage queue,0,16,0.0,0,44702366,0.6596367634728096,,43.2,99.8,49.2,48.1,98.5,99.7
cont018,control_room_operator,employee,2019-04-24,70.6,moderate,external_foreign,Review in the daily triage queue,2,2,0.0,2,0,0.6922740656960442,GT1_password_spray,98.7,57.6,99.1,48.1,99.0,5.1
cont022,control_room_operator,employee,2019-04-23,70.6,moderate,anomaly,Review in the daily triage queue,0,20,0.0,0,48424415,0.6488149056124132,,43.2,100.0,49.2,48.1,98.2,99.9
cont023,control_room_operator,employee,2019-04-17,70.6,moderate,anomaly,Review in the daily triage queue,1,4,0.0,0,15603201,0.5088794827176073,,92.1,75.0,49.2,48.1,88.6,80.5
cont025,control_room_operator,employee,2019-04-18,70.6,moderate,anomaly,Review in the daily triage queue,0,15,0.0,0,44155609,0.6582311170159446,,43.2,99.6,49.2,48.1,98.5,99.7
supe112,supervisor,employee,2019-04-26,70.6,moderate,priv_no_mfa,Review in the daily triage queue,0,0,4.0,0,20971812,0.5385985769301801,,43.2,23.9,49.2,99.6,92.4,90.0
main029,maintenance_engineer,employee,2019-04-18,70.5,moderate,anomaly,Review in the daily triage queue,0,14,0.0,0,39937463,0.6609513873185251,,43.2,99.3,49.2,48.1,98.6,99.5
