username,role,employment_type,day,events,failures,priv_actions,distinct_ips,distinct_countries,out_of_hours,foreign,bytes_out,iso_score,lof_score,why_flagged,gt
ot054,ot_network_admin,employee,2019-04-19,26,0,4,1,1,16,0,31542396,0.6667856097267721,1.4557087735630174,out_of_hours +4.5 SD vs role mean; events +3.0 SD vs role mean; resource_access +2.9 SD vs role mean,
vend073,vendor_technician,vendor,2019-04-23,26,1,6,3,1,2,0,32955311,0.6663018296767135,1.3127068352402103,logins +4.1 SD vs role mean; events +4.1 SD vs role mean; priv_actions +3.9 SD vs role mean,
ot058,ot_network_admin,employee,2019-04-24,9,2,1,4,2,4,1,7434318,0.6656130103109733,0.9889962379518658,distinct_countries +8.4 SD vs role mean; mfa_absent +5.9 SD vs role mean; foreign +4.8 SD vs role mean,GT1_password_spray
cont015,control_room_operator,employee,2019-04-28,21,1,5,2,1,1,0,29706205,0.664498967420852,1.2668649022635012,priv_actions +6.0 SD vs role mean; mfa_absent +4.4 SD vs role mean; resource_access +2.6 SD vs role mean,
main029,maintenance_engineer,employee,2019-04-18,22,0,9,2,1,14,0,39937463,0.6609513873185251,1.7847075934203718,priv_actions +11.4 SD vs role mean; out_of_hours +4.7 SD vs role mean; bytes_out +4.0 SD vs role mean,
cont086,contractor_surveyor,contractor,2019-04-24,10,2,0,4,2,1,1,3518984,0.6607085223704768,0.9881608793946997,distinct_countries +6.4 SD vs role mean; failures +3.7 SD vs role mean; distinct_ips +2.2 SD vs role mean,GT1_password_spray
cont005,control_room_operator,employee,2019-04-17,30,0,0,3,1,16,0,44702366,0.6596367634728096,1.523202331400869,resource_access +4.3 SD vs role mean; bytes_out +3.7 SD vs role mean; events +3.6 SD vs role mean,
cont025,control_room_operator,employee,2019-04-18,30,0,0,3,1,15,0,44155609,0.6582311170159446,1.4354985080782305,bytes_out +3.7 SD vs role mean; events +3.6 SD vs role mean; resource_access +3.6 SD vs role mean,
supe106,supervisor,employee,2019-04-24,11,2,0,2,2,5,1,10303494,0.657467434652262,0.9901817358900827,distinct_countries +11.6 SD vs role mean; failures +4.3 SD vs role mean; foreign +3.7 SD vs role mean,GT1_password_spray
vend074,vendor_technician,vendor,2019-04-04,24,1,5,1,1,0,0,33180080,0.6574584590582097,1.3273178530387457,events +3.7 SD vs role mean; resource_access +3.4 SD vs role mean; logins +3.3 SD vs role mean,
it060,it_service_desk,employee,2019-04-01,26,0,5,2,1,0,0,43740970,0.6570605010276818,1.4420765873850507,bytes_out +4.7 SD vs role mean; resource_access +4.1 SD vs role mean; priv_actions +3.9 SD vs role mean,
vend075,vendor_technician,vendor,2019-04-30,20,2,4,1,1,5,0,37847997,0.6508773925114103,1.3988844472748434,failures +3.5 SD vs role mean; bytes_out +3.1 SD vs role mean; events +2.8 SD vs role mean,
supe111,supervisor,employee,2019-04-26,27,0,0,2,1,5,0,46217104,0.650840983102973,1.623675375592962,resource_access +4.6 SD vs role mean; mfa_absent +4.6 SD vs role mean; bytes_out +4.4 SD vs role mean,
cont019,control_room_operator,employee,2019-04-10,24,1,0,1,1,2,0,34365954,0.6501928137066897,1.4529206557693655,mfa_absent +5.1 SD vs role mean; resource_access +2.6 SD vs role mean; bytes_out +2.6 SD vs role mean,
cont022,control_room_operator,employee,2019-04-23,25,0,0,3,1,20,0,48424415,0.6488149056124132,1.4818750877357423,bytes_out +4.1 SD vs role mean; out_of_hours +4.0 SD vs role mean; resource_access +3.3 SD vs role mean,
cont014,control_room_operator,employee,2019-04-24,16,1,0,2,2,13,1,13974786,0.6446006036118166,1.020880659229764,distinct_countries +9.2 SD vs role mean; foreign +3.5 SD vs role mean; external +3.5 SD vs role mean,GT1_password_spray
vend070,vendor_technician,vendor,2019-04-24,1,1,0,1,1,1,1,0,0.6430341813727539,1.1469005699101114,failure_ratio +6.1 SD vs role mean; failures +1.6 SD vs role mean,GT1_password_spray
ot051,ot_network_admin,employee,2019-04-27,7,0,2,4,2,4,2,3644858,0.6426377590730014,1.0097523191383224,external +9.7 SD vs role mean; foreign +9.7 SD vs role mean; distinct_countries +8.4 SD vs role mean,GT4_impossible_travel
main038,maintenance_engineer,employee,2019-04-30,24,1,0,2,1,0,0,31583250,0.6396311944673226,1.4661492306453114,mfa_absent +7.8 SD vs role mean; events +3.4 SD vs role mean; logins +3.1 SD vs role mean,
it068,it_service_desk,employee,2019-04-16,21,0,4,1,1,1,0,23495987,0.6334998080343944,1.2683490881901398,mfa_absent +4.0 SD vs role mean; logins +3.1 SD vs role mean; priv_actions +3.0 SD vs role mean,
ot051,ot_network_admin,employee,2019-04-02,22,3,3,2,1,5,0,14259943,0.6332150734279749,1.6445545026810953,failures +5.9 SD vs role mean; logins +3.5 SD vs role mean; events +2.3 SD vs role mean,
