asset_id,events,accounts,asset_type,site,site_zone,device_zone,criticality,primary_protocol,ip_address,owner_team,patch_status,remote_access_enabled
AST-0135,23,vend069,sensor_weather,WORKSHOP-01,IT-OT,OT,medium,mqtt,192.168.14.2,OT Engineering,behind_1_cycle,False
AST-0152,23,vend069,laptop,WORKSHOP-01,IT-OT,IT,medium,,192.168.14.189,IT Operations,behind_2_cycles,True
AST-0164,23,it059,laptop,CAMP-01,IT,IT,medium,,192.168.15.142,IT Operations,behind_2_cycles,True
AST-0102,24,main029,sensor_weather,TAILINGS-01,OT,OT,medium,mqtt,192.168.13.59,OT Engineering,behind_1_cycle,True
AST-0137,28,vend069,sensor_weather,WORKSHOP-01,IT-OT,OT,medium,mqtt,192.168.14.127,OT Engineering,current,True
AST-0076,30,cont001,sensor_thermostat,PLANT-01,OT,OT,medium,mqtt,192.168.12.165,OT Engineering,behind_1_cycle,False
AST-0106,32,main029,sensor_thermostat,TAILINGS-01,OT,OT,medium,mqtt,192.168.13.44,OT Engineering,current,False
AST-0163,34,it059,laptop,CAMP-01,IT,IT,medium,,192.168.15.235,IT Operations,current,True
AST-0043,38,ot051,sensor_thermostat,PIT-B,OT,OT,medium,mqtt,192.168.11.164,OT Engineering,current,True
AST-0091,39,cont001,laptop,PLANT-01,OT,IT,medium,,192.168.12.6,IT Operations,unsupported,True
AST-0090,40,ot054,laptop,PLANT-01,OT,IT,medium,,192.168.12.83,IT Operations,behind_2_cycles,True
AST-0075,41,ot054,sensor_thermostat,PLANT-01,OT,OT,medium,mqtt,192.168.12.212,OT Engineering,behind_2_cycles,False
AST-0041,47,ot051,sensor_weather,PIT-B,OT,OT,medium,mqtt,192.168.11.3,OT Engineering,current,True
AST-0079,48,ot054,gps_tracker,PLANT-01,OT,OT,medium,mqtt,192.168.12.122,OT Engineering,behind_1_cycle,False
AST-0062,49,ot051,laptop,PIT-B,OT,IT,medium,,192.168.11.217,IT Operations,behind_1_cycle,False
AST-0048,56,ot051,gps_tracker,PIT-B,OT,OT,medium,mqtt,192.168.11.110,OT Engineering,current,False
AST-0191,64,"cont081,ot052",laptop,PORT-WVB,IT,IT,medium,,192.168.17.33,IT Operations,current,False
AST-0080,75,"cont001,ot054",gps_tracker,PLANT-01,OT,OT,medium,mqtt,192.168.12.88,OT Engineering,behind_1_cycle,False
AST-0061,79,"ot051,supe112",laptop,PIT-B,OT,IT,medium,,192.168.11.38,IT Operations,behind_2_cycles,True
AST-0182,8,cont081,garage_door_ctrl,PORT-WVB,IT,IT-OT,low,http,192.168.17.154,IT Operations,current,False
AST-0109,23,main029,sensor_motion,TAILINGS-01,OT,OT,low,mqtt,192.168.13.5,OT Engineering,behind_1_cycle,False
AST-0114,25,main029,garage_door_ctrl,TAILINGS-01,OT,IT-OT,low,http,192.168.13.121,IT Operations,current,False
AST-0053,28,supe112,fridge_unit,PIT-B,OT,IT-OT,low,mqtt,192.168.11.187,IT Operations,current,False
AST-0158,29,it061,fridge_unit,CAMP-01,IT,IT-OT,low,mqtt,192.168.15.76,IT Operations,behind_2_cycles,False
AST-0155,30,it061,garage_door_ctrl,CAMP-01,IT,IT-OT,low,http,192.168.15.222,IT Operations,current,False
AST-0142,31,vend069,sensor_motion,WORKSHOP-01,IT-OT,OT,low,mqtt,192.168.14.198,OT Engineering,current,False
AST-0052,32,supe112,garage_door_ctrl,PIT-B,OT,IT-OT,low,http,192.168.11.156,IT Operations,unsupported,False
AST-0156,32,it059,fridge_unit,CAMP-01,IT,IT-OT,low,mqtt,192.168.15.6,IT Operations,unsupported,True
AST-0183,37,ot052,garage_door_ctrl,PORT-WVB,IT,IT-OT,low,http,192.168.17.79,IT Operations,unsupported,True
AST-0081,38,cont001,garage_door_ctrl,PLANT-01,OT,IT-OT,low,http,192.168.12.139,IT Operations,current,True
AST-0185,48,ot052,fridge_unit,PORT-WVB,IT,IT-OT,low,mqtt,192.168.17.147,IT Operations,current,True
AST-0157,64,"it059,it061",fridge_unit,CAMP-01,IT,IT-OT,low,mqtt,192.168.15.215,IT Operations,behind_2_cycles,True
