username,day,events,logins,failures,resource_access,priv_actions,distinct_ips,distinct_countries,distinct_targets,out_of_hours,weekend,foreign,external,bytes_out,mfa_absent,gt,failure_ratio,role,employment_type
cont078,2019-04-24,7,1,2,3,0,3,2,2,2,0,2,2,7107931,2,GT1_password_spray,0.2857142857142857,contractor_surveyor,contractor
cont087,2019-04-24,9,2,2,3,0,4,2,2,2,0,2,2,2239188,2,GT1_password_spray,0.2222222222222222,contractor_surveyor,contractor
main029,2019-04-24,5,1,2,1,1,3,2,2,2,0,2,2,5438675,2,GT1_password_spray,0.4,maintenance_engineer,employee
main032,2019-04-24,9,2,2,3,0,4,2,3,2,0,2,2,10597011,2,GT1_password_spray,0.2222222222222222,maintenance_engineer,employee
main038,2019-04-24,14,3,2,6,0,3,2,4,6,0,2,2,13915129,14,GT1_password_spray,0.14285714285714285,maintenance_engineer,employee
main047,2019-04-24,14,3,2,6,4,2,2,2,7,0,2,2,17221351,2,GT1_password_spray,0.14285714285714285,maintenance_engineer,employee
cont086,2019-04-24,10,3,2,2,0,4,2,3,1,0,1,1,3518984,1,GT1_password_spray,0.2,contractor_surveyor,contractor
ot058,2019-04-24,9,2,2,3,1,4,2,3,4,0,1,1,7434318,1,GT1_password_spray,0.2222222222222222,ot_network_admin,employee
supe106,2019-04-24,11,4,2,2,0,2,2,4,5,0,1,1,10303494,1,GT1_password_spray,0.18181818181818182,supervisor,employee
vend069,2019-04-25,18,5,1,9,4,2,2,6,8,0,5,5,56598662,5,GT2_vendor_out_of_hours,0.05555555555555555,vendor_technician,vendor
cont014,2019-04-24,16,4,1,7,0,2,2,3,13,0,1,1,13974786,1,GT1_password_spray,0.0625,control_room_operator,employee
cont083,2019-04-24,10,2,1,6,0,4,2,4,4,0,1,1,13551941,1,GT1_password_spray,0.1,contractor_surveyor,contractor
it061,2019-04-24,10,2,1,4,0,2,2,3,3,0,1,1,13075363,1,GT1_password_spray,0.1,it_service_desk,employee
it063,2019-04-24,12,2,1,7,0,2,2,3,1,0,1,1,14834561,1,GT1_password_spray,0.08333333333333333,it_service_desk,employee
main028,2019-04-24,16,4,1,7,0,3,2,4,5,0,1,1,15382026,1,GT1_password_spray,0.0625,maintenance_engineer,employee
main037,2019-04-24,7,2,1,2,2,2,2,2,4,0,1,1,8046744,1,GT1_password_spray,0.14285714285714285,maintenance_engineer,employee
main039,2019-04-24,5,1,1,2,0,3,2,2,1,0,1,1,3952940,1,GT1_password_spray,0.2,maintenance_engineer,employee
main048,2019-04-24,5,1,1,2,0,3,2,3,1,0,1,1,4483882,1,GT1_password_spray,0.2,maintenance_engineer,employee
vend070,2019-04-24,1,0,1,0,0,1,1,1,1,0,1,1,0,1,GT1_password_spray,1.0,vendor_technician,vendor
vend077,2019-04-24,5,1,1,2,0,3,2,3,5,0,1,1,3713616,1,GT1_password_spray,0.2,vendor_technician,vendor
cont081,2019-04-29,11,2,0,8,2,2,2,5,11,0,7,7,240784366,7,GT3_dormant_account,0.0,contractor_surveyor,contractor
vend069,2019-04-26,7,2,0,4,4,2,2,6,5,0,5,5,40771399,5,GT2_vendor_out_of_hours,0.0,vendor_technician,vendor
vend069,2019-04-27,5,1,0,4,4,1,1,4,5,1,5,5,47315192,5,GT2_vendor_out_of_hours,0.0,vendor_technician,vendor
vend069,2019-04-28,12,3,0,7,4,2,2,5,7,1,5,5,39351134,5,GT2_vendor_out_of_hours,0.0,vendor_technician,vendor
ot051,2019-04-27,7,3,0,2,2,4,2,4,4,1,2,2,3644858,1,GT4_impossible_travel,0.0,ot_network_admin,employee
