event_id,timestamp,username,user_role,employment_type,site,asset_id,src_ip,src_country,auth_method,mfa_used,event_type,result,target_system,privileged_action,session_duration_s,bytes_out,gt_scenario
ACC000037,2019-04-01 03:01:16,cont025,control_room_operator,employee,PLANT-01,AST-0065,10.21.35.38,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,historian,False,1879,0,
ACC000038,2019-04-01 03:07:12,cont025,control_room_operator,employee,PLANT-01,AST-0063,10.21.35.38,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,maintenance_portal,False,0,1432726,
ACC000039,2019-04-01 03:08:35,cont020,control_room_operator,employee,PLANT-01,AST-0070,10.28.215.202,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,fleet_mgmt,False,5688,0,
ACC000040,2019-04-01 03:12:07,cont019,control_room_operator,employee,PIT-A,AST-0013,10.49.227.210,NAM,rdp_broker,False,RESOURCE_ACCESS,success,telemetry_broker,False,0,1587598,
ACC000041,2019-04-01 03:12:43,supe108,supervisor,employee,PIT-A,AST-0005,10.49.102.148,NAM,rdp_broker,False,LOGOUT,success,maintenance_portal,False,2347,0,
ACC000042,2019-04-01 03:14:03,cont019,control_room_operator,employee,PIT-A,AST-0016,10.49.227.210,NAM,rdp_broker,False,RESOURCE_ACCESS,success,cctv_nvr,False,0,2504690,
ACC000043,2019-04-01 03:17:02,cont026,control_room_operator,employee,PIT-A,AST-0002,10.23.71.72,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,cctv_nvr,False,5089,0,
ACC000044,2019-04-01 03:19:15,cont019,control_room_operator,employee,PIT-A,AST-0029,10.49.227.210,NAM,rdp_broker,False,LOGOUT,success,scada_hmi,False,3116,0,
ACC000045,2019-04-01 03:20:30,cont025,control_room_operator,employee,PLANT-01,AST-0065,10.21.35.38,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,historian,False,0,508334,
ACC000046,2019-04-01 03:24:56,cont003,control_room_operator,employee,TAILINGS-01,AST-0116,10.58.18.218,NAM,rdp_broker,True,LOGIN_SUCCESS,success,plc_engineering_ws,False,3195,0,
ACC000047,2019-04-01 03:25:04,ot058,ot_network_admin,employee,PLANT-01,AST-0066,10.41.127.218,NAM,ssh_bastion,True,LOGIN_SUCCESS,success,fleet_mgmt,False,3490,0,
ACC000048,2019-04-01 03:30:32,cont025,control_room_operator,employee,PLANT-01,AST-0065,10.21.35.50,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,maintenance_portal,False,0,1394285,
ACC000049,2019-04-01 03:32:35,cont025,control_room_operator,employee,PLANT-01,AST-0063,10.21.35.38,NAM,vpn_gateway,True,LOGOUT,success,historian,False,1879,0,
ACC000050,2019-04-01 03:32:51,ot058,ot_network_admin,employee,PLANT-01,AST-0087,10.41.127.83,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,historian,True,0,3305025,
ACC000051,2019-04-01 03:41:50,cont018,control_room_operator,employee,PIT-A,AST-0001,10.25.39.103,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,file_share,False,3593,0,
ACC000052,2019-04-01 03:43:01,main040,maintenance_engineer,employee,PIT-A,AST-0028,10.29.27.240,NAM,rdp_broker,True,LOGIN_SUCCESS,success,plc_engineering_ws,False,3579,0,
ACC000053,2019-04-01 03:43:21,cont003,control_room_operator,employee,TAILINGS-01,AST-0112,10.58.18.218,NAM,rdp_broker,True,RESOURCE_ACCESS,success,plc_engineering_ws,False,0,3909067,
ACC000054,2019-04-01 03:44:00,cont024,control_room_operator,employee,PLANT-01,AST-0074,10.46.248.59,NAM,ssh_bastion,True,LOGIN_SUCCESS,success,maintenance_portal,False,5366,0,
ACC000055,2019-04-01 03:47:41,mine099,mine_planner,employee,CAMP-01,AST-0155,10.27.111.43,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,maintenance_portal,False,3725,0,
ACC000056,2019-04-01 03:50:01,cont026,control_room_operator,employee,PIT-A,AST-0019,10.23.71.72,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,cctv_nvr,False,0,4044083,
ACC000057,2019-04-01 03:54:08,cont003,control_room_operator,employee,TAILINGS-01,AST-0099,10.58.18.110,NAM,rdp_broker,True,RESOURCE_ACCESS,success,plc_engineering_ws,False,0,1204860,
ACC000058,2019-04-01 03:55:37,cont020,control_room_operator,employee,PLANT-01,AST-0084,10.28.215.202,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,fleet_mgmt,False,0,2850965,
ACC000059,2019-04-01 03:58:11,ot058,ot_network_admin,employee,PLANT-01,AST-0090,10.41.127.14,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,erp,False,0,1301735,
ACC000060,2019-04-01 04:09:32,ot058,ot_network_admin,employee,PLANT-01,AST-0088,10.41.127.14,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,historian,False,0,3323078,
ACC000061,2019-04-01 04:11:59,cont026,control_room_operator,employee,PIT-A,AST-0002,10.23.71.192,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,file_share,False,0,4220687,
ACC000062,2019-04-01 04:18:11,cont003,control_room_operator,employee,TAILINGS-01,AST-0112,10.58.18.218,NAM,rdp_broker,True,LOGOUT,success,cctv_nvr,False,3195,0,
ACC000063,2019-04-01 04:21:54,cont024,control_room_operator,employee,PLANT-01,AST-0074,10.46.248.59,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,historian,False,0,799812,
ACC000064,2019-04-01 04:23:01,ot058,ot_network_admin,employee,PLANT-01,AST-0088,10.41.127.218,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,fleet_mgmt,True,0,2617238,
ACC000065,2019-04-01 04:23:14,ot058,ot_network_admin,employee,PLANT-01,AST-0064,10.41.127.83,NAM,ssh_bastion,True,LOGOUT,success,erp,False,3490,0,
ACC000066,2019-04-01 04:24:06,cont018,control_room_operator,employee,PIT-A,AST-0010,10.25.39.62,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,maintenance_portal,False,0,5892842,
ACC000067,2019-04-01 04:28:54,cont015,control_room_operator,employee,PIT-B,AST-0059,10.21.208.160,NAM,vpn_gateway,False,LOGIN_SUCCESS,success,file_share,False,191,0,
ACC000068,2019-04-01 04:30:35,ot055,ot_network_admin,employee,TAILINGS-01,AST-0096,10.29.65.23,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,cctv_nvr,False,2921,0,
ACC000069,2019-04-01 04:32:05,cont015,control_room_operator,employee,PIT-B,AST-0042,10.21.208.160,NAM,vpn_gateway,False,LOGOUT,success,maintenance_portal,False,191,0,
ACC000070,2019-04-01 04:33:30,cont024,control_room_operator,employee,PLANT-01,AST-0083,10.46.248.59,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,maintenance_portal,False,0,2348213,
ACC000071,2019-04-01 04:39:35,cont020,control_room_operator,employee,PLANT-01,AST-0079,10.28.215.202,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,fleet_mgmt,False,0,339777,
ACC000072,2019-04-01 04:41:43,cont018,control_room_operator,employee,PIT-A,AST-0014,10.25.39.103,NAM,vpn_gateway,True,LOGOUT,success,maintenance_portal,False,3593,0,
ACC000073,2019-04-01 04:41:50,cont008,control_room_operator,employee,TAILINGS-01,AST-0100,10.36.246.125,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,telemetry_broker,False,2682,0,
ACC000074,2019-04-01 04:41:51,cont026,control_room_operator,employee,PIT-A,AST-0012,10.23.71.72,NAM,vpn_gateway,True,LOGOUT,success,file_share,False,5089,0,
ACC000075,2019-04-01 04:42:32,mine099,mine_planner,employee,CAMP-01,AST-0160,10.27.111.43,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,maintenance_portal,False,0,2184179,
ACC000076,2019-04-01 04:42:40,main040,maintenance_engineer,employee,PIT-A,AST-0015,10.29.27.240,NAM,rdp_broker,True,LOGOUT,success,scada_hmi,False,3579,0,
ACC000077,2019-04-01 04:43:23,cont020,control_room_operator,employee,PLANT-01,AST-0085,10.28.215.202,NAM,ot_jump_host,True,LOGOUT,success,fleet_mgmt,False,5688,0,
ACC000078,2019-04-01 04:49:46,mine099,mine_planner,employee,CAMP-01,AST-0164,10.27.111.43,NAM,ot_jump_host,True,LOGOUT,success,maintenance_portal,False,3725,0,
ACC000079,2019-04-01 04:50:47,main031,maintenance_engineer,employee,PIT-B,AST-0041,10.52.236.243,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,maintenance_portal,False,328,0,
ACC000080,2019-04-01 04:53:19,main031,maintenance_engineer,employee,PIT-B,AST-0040,10.52.236.96,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,maintenance_portal,False,0,4165283,
ACC000081,2019-04-01 04:56:15,main031,maintenance_engineer,employee,PIT-B,AST-0043,10.52.236.96,NAM,ot_jump_host,True,LOGOUT,success,erp,False,328,0,
ACC000082,2019-04-01 04:58:30,supe113,supervisor,employee,TAILINGS-01,AST-0093,10.37.1.144,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,erp,False,2849,0,
ACC000083,2019-04-01 05:01:42,cont007,control_room_operator,employee,PIT-B,AST-0058,10.39.48.156,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,fleet_mgmt,False,740,0,
ACC000084,2019-04-01 05:02:49,supe113,supervisor,employee,TAILINGS-01,AST-0098,10.37.1.73,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,erp,False,0,898012,
ACC000085,2019-04-01 05:03:28,cont007,control_room_operator,employee,PIT-B,AST-0036,10.39.48.156,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,file_share,False,0,3655966,
ACC000086,2019-04-01 05:10:49,supe113,supervisor,employee,TAILINGS-01,AST-0107,10.37.1.73,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,fleet_mgmt,False,0,1268801,
ACC000087,2019-04-01 05:13:26,cont024,control_room_operator,employee,PLANT-01,AST-0089,10.46.248.59,NAM,ssh_bastion,True,LOGOUT,success,historian,False,5366,0,
ACC000088,2019-04-01 05:14:02,cont007,control_room_operator,employee,PIT-B,AST-0045,10.39.48.243,NAM,vpn_gateway,True,LOGOUT,success,fleet_mgmt,False,740,0,
ACC000089,2019-04-01 05:19:16,ot055,ot_network_admin,employee,TAILINGS-01,AST-0098,10.29.65.182,NAM,vpn_gateway,True,LOGOUT,success,cctv_nvr,False,2921,0,
ACC000090,2019-04-01 05:22:45,cont020,control_room_operator,employee,PLANT-01,AST-0067,10.28.215.202,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,fleet_mgmt,False,423,0,
ACC000091,2019-04-01 05:24:30,cont020,control_room_operator,employee,PLANT-01,AST-0084,10.28.215.202,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,historian,False,0,1340996,
ACC000092,2019-04-01 05:26:04,supe113,supervisor,employee,TAILINGS-01,AST-0093,10.37.1.144,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,plc_engineering_ws,False,0,631141,
ACC000093,2019-04-01 05:26:32,cont008,control_room_operator,employee,TAILINGS-01,AST-0102,10.36.246.125,NAM,ot_jump_host,True,LOGOUT,success,telemetry_broker,False,2682,0,
ACC000094,2019-04-01 05:27:50,cont020,control_room_operator,employee,PLANT-01,AST-0085,10.28.215.202,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,fleet_mgmt,False,0,4365610,
ACC000095,2019-04-01 05:29:09,cont020,control_room_operator,employee,PLANT-01,AST-0070,10.28.215.202,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,fleet_mgmt,False,0,1755333,
ACC000096,2019-04-01 05:29:16,cont020,control_room_operator,employee,PLANT-01,AST-0079,10.28.215.202,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,historian,False,0,1237173,
ACC000097,2019-04-01 05:29:48,cont020,control_room_operator,employee,PLANT-01,AST-0070,10.28.215.202,NAM,ot_jump_host,True,LOGOUT,success,historian,False,423,0,
ACC000098,2019-04-01 05:34:53,supe113,supervisor,employee,TAILINGS-01,AST-0117,10.37.1.144,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,plc_engineering_ws,False,0,2102098,
ACC000099,2019-04-01 05:36:59,supe113,supervisor,employee,TAILINGS-01,AST-0093,10.37.1.73,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,erp,False,0,2019926,
ACC000100,2019-04-01 05:42:30,ot052,ot_network_admin,employee,PORT-WVB,AST-0189,10.24.91.83,NAM,rdp_broker,True,LOGIN_SUCCESS,success,plc_engineering_ws,False,3419,0,
ACC000101,2019-04-01 05:45:59,supe113,supervisor,employee,TAILINGS-01,AST-0098,10.37.1.73,NAM,ot_jump_host,True,LOGOUT,success,fleet_mgmt,False,2849,0,
ACC000102,2019-04-01 05:49:03,cont015,control_room_operator,employee,PIT-B,AST-0052,10.21.208.153,NAM,vpn_gateway,False,LOGIN_FAILURE,failure,maintenance_portal,False,0,0,
ACC000103,2019-04-01 05:54:14,cont024,control_room_operator,employee,PLANT-01,AST-0073,10.46.248.59,NAM,ssh_bastion,True,LOGIN_SUCCESS,success,erp,False,957,0,
ACC000104,2019-04-01 05:54:56,mine096,mine_planner,employee,CAMP-01,AST-0164,10.45.3.41,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,erp,False,1334,0,
ACC000105,2019-04-01 05:58:30,cont015,control_room_operator,employee,PIT-B,AST-0059,10.21.208.153,NAM,vpn_gateway,False,LOGIN_SUCCESS,success,scada_hmi,False,580,0,
ACC000106,2019-04-01 06:00:25,main047,maintenance_engineer,employee,TAILINGS-01,AST-0123,10.21.44.146,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,telemetry_broker,False,4673,0,
ACC000107,2019-04-01 06:00:40,main041,maintenance_engineer,employee,PLANT-01,AST-0089,10.34.71.61,NAM,ssh_bastion,True,LOGIN_SUCCESS,success,plc_engineering_ws,False,2194,0,
ACC000108,2019-04-01 06:02:03,main041,maintenance_engineer,employee,PLANT-01,AST-0076,10.34.71.83,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,plc_engineering_ws,False,0,4412894,
ACC000109,2019-04-01 06:02:59,mine096,mine_planner,employee,CAMP-01,AST-0159,10.45.3.128,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,erp,False,0,3645490,
ACC000110,2019-04-01 06:03:24,main050,maintenance_engineer,employee,PLANT-01,AST-0079,10.53.195.221,NAM,ssh_bastion,True,LOGIN_SUCCESS,success,fleet_mgmt,False,2788,0,
ACC000111,2019-04-01 06:03:27,main030,maintenance_engineer,employee,WORKSHOP-01,AST-0152,10.55.90.7,NAM,rdp_broker,False,LOGIN_SUCCESS,success,plc_engineering_ws,False,5385,0,
ACC000112,2019-04-01 06:06:34,cont015,control_room_operator,employee,PIT-B,AST-0048,10.21.208.153,NAM,vpn_gateway,False,RESOURCE_ACCESS,success,historian,False,0,3168987,
ACC000113,2019-04-01 06:06:48,cont024,control_room_operator,employee,PLANT-01,AST-0073,10.46.248.59,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,maintenance_portal,False,0,6288350,
ACC000114,2019-04-01 06:06:52,cont024,control_room_operator,employee,PLANT-01,AST-0081,10.46.248.59,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,erp,False,0,4700449,
ACC000115,2019-04-01 06:08:10,cont015,control_room_operator,employee,PIT-B,AST-0040,10.21.208.153,NAM,vpn_gateway,False,LOGOUT,success,historian,False,580,0,
ACC000116,2019-04-01 06:09:50,main038,maintenance_engineer,employee,WORKSHOP-01,AST-0141,10.43.249.172,NAM,vpn_gateway,False,LOGIN_SUCCESS,success,historian,False,1383,0,
ACC000117,2019-04-01 06:10:11,cont024,control_room_operator,employee,PLANT-01,AST-0083,10.46.248.59,NAM,ssh_bastion,True,LOGOUT,success,erp,False,957,0,
ACC000118,2019-04-01 06:10:21,main050,maintenance_engineer,employee,PLANT-01,AST-0082,10.53.195.221,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,scada_hmi,False,0,6055898,
ACC000119,2019-04-01 06:12:10,cont016,control_room_operator,employee,PLANT-01,AST-0075,10.42.167.8,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,telemetry_broker,False,3685,0,
ACC000120,2019-04-01 06:15:37,vend073,vendor_technician,vendor,PIT-B,AST-0059,10.40.31.156,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,scada_hmi,False,5529,0,
ACC000121,2019-04-01 06:17:10,mine096,mine_planner,employee,CAMP-01,AST-0159,10.45.3.35,NAM,vpn_gateway,True,LOGOUT,success,historian,False,1334,0,
ACC000122,2019-04-01 06:17:11,main041,maintenance_engineer,employee,PLANT-01,AST-0076,10.34.71.61,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,cctv_nvr,False,0,2624248,
ACC000123,2019-04-01 06:18:46,cont016,control_room_operator,employee,PLANT-01,AST-0063,10.42.167.171,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,telemetry_broker,False,0,1029836,
ACC000124,2019-04-01 06:19:02,cont016,control_room_operator,employee,PLANT-01,AST-0081,10.42.167.8,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,erp,False,0,2102106,
ACC000125,2019-04-01 06:23:49,main041,maintenance_engineer,employee,PLANT-01,AST-0063,10.34.71.61,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,plc_engineering_ws,False,0,1082707,
ACC000126,2019-04-01 06:23:55,mine098,mine_planner,employee,PORT-WVB,AST-0186,10.46.38.189,NAM,rdp_broker,False,LOGIN_SUCCESS,success,fleet_mgmt,False,3750,0,
ACC000127,2019-04-01 06:26:48,ot052,ot_network_admin,employee,PORT-WVB,AST-0192,10.24.91.27,NAM,rdp_broker,True,RESOURCE_ACCESS,success,plc_engineering_ws,False,0,4587650,
ACC000128,2019-04-01 06:27:05,cont086,contractor_surveyor,contractor,PORT-WVB,AST-0190,10.32.162.70,NAM,web_portal,True,LOGIN_SUCCESS,success,erp,False,3252,0,
ACC000129,2019-04-01 06:28:37,main047,maintenance_engineer,employee,TAILINGS-01,AST-0103,10.21.44.146,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,telemetry_broker,False,0,514262,
ACC000130,2019-04-01 06:30:29,supe109,supervisor,employee,TAILINGS-01,AST-0117,10.32.159.88,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,scada_hmi,False,1053,0,
ACC000131,2019-04-01 06:32:12,cont022,control_room_operator,employee,PLANT-01,AST-0076,10.31.44.157,NAM,rdp_broker,True,LOGIN_SUCCESS,success,fleet_mgmt,False,392,0,
ACC000132,2019-04-01 06:32:53,main038,maintenance_engineer,employee,WORKSHOP-01,AST-0138,10.43.249.172,NAM,vpn_gateway,False,LOGOUT,success,file_share,False,1383,0,
ACC000133,2019-04-01 06:33:10,supe109,supervisor,employee,TAILINGS-01,AST-0104,10.32.159.88,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,scada_hmi,False,0,5435924,
ACC000134,2019-04-01 06:33:18,mine098,mine_planner,employee,PORT-WVB,AST-0186,10.46.38.141,NAM,rdp_broker,False,RESOURCE_ACCESS,success,fleet_mgmt,False,0,151995,
ACC000135,2019-04-01 06:35:51,cont022,control_room_operator,employee,PLANT-01,AST-0063,10.31.44.106,NAM,rdp_broker,True,RESOURCE_ACCESS,success,telemetry_broker,False,0,276243,
ACC000136,2019-04-01 06:36:09,it059,it_service_desk,employee,CAMP-01,AST-0156,10.46.74.194,NAM,ot_jump_host,False,LOGIN_SUCCESS,success,fleet_mgmt,False,897,0,
ACC000137,2019-04-01 06:36:12,cont022,control_room_operator,employee,PLANT-01,AST-0069,10.31.44.157,NAM,rdp_broker,True,RESOURCE_ACCESS,success,maintenance_portal,False,0,1065241,
ACC000138,2019-04-01 06:36:28,main041,maintenance_engineer,employee,PLANT-01,AST-0065,10.34.71.61,NAM,ssh_bastion,True,LOGIN_FAILURE,failure,cctv_nvr,False,0,0,
ACC000139,2019-04-01 06:36:50,main041,maintenance_engineer,employee,PLANT-01,AST-0063,10.34.71.61,NAM,ssh_bastion,True,LOGIN_SUCCESS,success,plc_engineering_ws,False,0,0,
ACC000140,2019-04-01 06:37:14,main041,maintenance_engineer,employee,PLANT-01,AST-0076,10.34.71.83,NAM,ssh_bastion,True,LOGOUT,success,plc_engineering_ws,False,2194,0,
ACC000141,2019-04-01 06:37:44,cont022,control_room_operator,employee,PLANT-01,AST-0080,10.31.44.106,NAM,rdp_broker,True,RESOURCE_ACCESS,success,cctv_nvr,False,0,2156541,
ACC000142,2019-04-01 06:38:14,ot052,ot_network_admin,employee,PORT-WVB,AST-0189,10.24.91.27,NAM,rdp_broker,True,RESOURCE_ACCESS,success,telemetry_broker,False,0,6046319,
ACC000143,2019-04-01 06:38:44,cont022,control_room_operator,employee,PLANT-01,AST-0080,10.31.44.106,NAM,rdp_broker,True,LOGOUT,success,fleet_mgmt,False,392,0,
