asset_id,asset_type,site,site_zone,device_zone,criticality,primary_protocol,ip_address,owner_team,patch_status,remote_access_enabled
AST-0035,hmi,PIT-B,OT,OT,critical,http,192.168.11.10,OT Engineering,current,False
AST-0036,historian,PIT-B,OT,OT,high,sql,192.168.11.35,OT Engineering,current,True
AST-0037,historian,PIT-B,OT,OT,high,sql,192.168.11.87,OT Engineering,behind_2_cycles,True
AST-0038,iiot_gateway,PIT-B,OT,OT,high,mqtt,192.168.11.194,OT Engineering,current,False
AST-0039,sensor_weather,PIT-B,OT,OT,medium,mqtt,192.168.11.103,OT Engineering,current,True
AST-0040,sensor_weather,PIT-B,OT,OT,medium,mqtt,192.168.11.153,OT Engineering,behind_1_cycle,True
AST-0041,sensor_weather,PIT-B,OT,OT,medium,mqtt,192.168.11.3,OT Engineering,current,True
AST-0042,sensor_modbus,PIT-B,OT,OT,critical,modbus,192.168.11.243,OT Engineering,behind_1_cycle,True
AST-0043,sensor_thermostat,PIT-B,OT,OT,medium,mqtt,192.168.11.164,OT Engineering,current,True
AST-0044,sensor_thermostat,PIT-B,OT,OT,medium,mqtt,192.168.11.86,OT Engineering,behind_2_cycles,True
AST-0045,sensor_motion,PIT-B,OT,OT,low,mqtt,192.168.11.43,OT Engineering,behind_1_cycle,False
AST-0046,sensor_motion,PIT-B,OT,OT,low,mqtt,192.168.11.132,OT Engineering,behind_1_cycle,True
AST-0047,gps_tracker,PIT-B,OT,OT,medium,mqtt,192.168.11.66,OT Engineering,behind_2_cycles,True
AST-0048,gps_tracker,PIT-B,OT,OT,medium,mqtt,192.168.11.110,OT Engineering,current,False
AST-0049,gps_tracker,PIT-B,OT,OT,medium,mqtt,192.168.11.57,OT Engineering,current,True
AST-0050,garage_door_ctrl,PIT-B,OT,IT-OT,low,http,192.168.11.38,IT Operations,current,False
AST-0051,garage_door_ctrl,PIT-B,OT,IT-OT,low,http,192.168.11.140,IT Operations,current,True
AST-0052,garage_door_ctrl,PIT-B,OT,IT-OT,low,http,192.168.11.156,IT Operations,unsupported,False
AST-0053,fridge_unit,PIT-B,OT,IT-OT,low,mqtt,192.168.11.187,IT Operations,current,False
AST-0054,fridge_unit,PIT-B,OT,IT-OT,low,mqtt,192.168.11.59,IT Operations,behind_1_cycle,False
AST-0055,haul_truck_edge,PIT-B,OT,OT,high,mqtt,192.168.11.56,OT Engineering,current,True
AST-0056,haul_truck_edge,PIT-B,OT,OT,high,mqtt,192.168.11.84,OT Engineering,current,True
AST-0057,vpn_gateway,PIT-B,OT,IT-OT,critical,ipsec,192.168.11.249,IT Operations,current,False
AST-0058,vpn_gateway,PIT-B,OT,IT-OT,critical,ipsec,192.168.11.189,IT Operations,behind_1_cycle,False
AST-0059,jump_host,PIT-B,OT,IT-OT,critical,rdp,192.168.11.30,IT Operations,behind_1_cycle,False
AST-0060,laptop,PIT-B,OT,IT,medium,n/a,192.168.11.101,IT Operations,unsupported,True
AST-0061,laptop,PIT-B,OT,IT,medium,n/a,192.168.11.38,IT Operations,behind_2_cycles,True
AST-0062,laptop,PIT-B,OT,IT,medium,n/a,192.168.11.217,IT Operations,behind_1_cycle,False
AST-0063,plc,PLANT-01,OT,OT,critical,modbus,192.168.12.80,OT Engineering,current,False
AST-0064,rtu,PLANT-01,OT,OT,critical,dnp3,192.168.12.42,OT Engineering,current,False
AST-0065,hmi,PLANT-01,OT,OT,critical,http,192.168.12.166,OT Engineering,current,True
AST-0066,historian,PLANT-01,OT,OT,high,sql,192.168.12.70,OT Engineering,current,False
AST-0067,historian,PLANT-01,OT,OT,high,sql,192.168.12.160,OT Engineering,current,True
AST-0068,iiot_gateway,PLANT-01,OT,OT,high,mqtt,192.168.12.83,OT Engineering,behind_1_cycle,True
AST-0069,iiot_gateway,PLANT-01,OT,OT,high,mqtt,192.168.12.148,OT Engineering,current,True
AST-0070,iiot_gateway,PLANT-01,OT,OT,high,mqtt,192.168.12.180,OT Engineering,behind_1_cycle,True
AST-0071,sensor_weather,PLANT-01,OT,OT,medium,mqtt,192.168.12.61,OT Engineering,current,True
AST-0072,sensor_weather,PLANT-01,OT,OT,medium,mqtt,192.168.12.78,OT Engineering,current,False
AST-0073,sensor_weather,PLANT-01,OT,OT,medium,mqtt,192.168.12.218,OT Engineering,current,False
AST-0074,sensor_modbus,PLANT-01,OT,OT,critical,modbus,192.168.12.152,OT Engineering,current,True
AST-0075,sensor_thermostat,PLANT-01,OT,OT,medium,mqtt,192.168.12.212,OT Engineering,behind_2_cycles,False
AST-0076,sensor_thermostat,PLANT-01,OT,OT,medium,mqtt,192.168.12.165,OT Engineering,behind_1_cycle,False
AST-0077,sensor_thermostat,PLANT-01,OT,OT,medium,mqtt,192.168.12.193,OT Engineering,behind_1_cycle,True
AST-0078,sensor_motion,PLANT-01,OT,OT,low,mqtt,192.168.12.117,OT Engineering,unsupported,True
AST-0079,gps_tracker,PLANT-01,OT,OT,medium,mqtt,192.168.12.122,OT Engineering,behind_1_cycle,False
AST-0080,gps_tracker,PLANT-01,OT,OT,medium,mqtt,192.168.12.88,OT Engineering,behind_1_cycle,False
AST-0081,garage_door_ctrl,PLANT-01,OT,IT-OT,low,http,192.168.12.139,IT Operations,current,True
AST-0082,garage_door_ctrl,PLANT-01,OT,IT-OT,low,http,192.168.12.7,IT Operations,current,False
AST-0083,garage_door_ctrl,PLANT-01,OT,IT-OT,low,http,192.168.12.13,IT Operations,current,True
AST-0084,fridge_unit,PLANT-01,OT,IT-OT,low,mqtt,192.168.12.214,IT Operations,behind_2_cycles,False
AST-0085,haul_truck_edge,PLANT-01,OT,OT,high,mqtt,192.168.12.54,OT Engineering,behind_2_cycles,True
AST-0086,vpn_gateway,PLANT-01,OT,IT-OT,critical,ipsec,192.168.12.122,IT Operations,current,False
AST-0087,jump_host,PLANT-01,OT,IT-OT,critical,rdp,192.168.12.93,IT Operations,current,False
AST-0088,jump_host,PLANT-01,OT,IT-OT,critical,rdp,192.168.12.241,IT Operations,unsupported,True
AST-0089,jump_host,PLANT-01,OT,IT-OT,critical,rdp,192.168.12.133,IT Operations,current,True
AST-0090,laptop,PLANT-01,OT,IT,medium,n/a,192.168.12.83,IT Operations,behind_2_cycles,True
AST-0091,laptop,PLANT-01,OT,IT,medium,n/a,192.168.12.6,IT Operations,unsupported,True
AST-0092,plc,TAILINGS-01,OT,OT,critical,modbus,192.168.13.180,OT Engineering,current,True
AST-0093,plc,TAILINGS-01,OT,OT,critical,modbus,192.168.13.32,OT Engineering,behind_1_cycle,False
AST-0094,plc,TAILINGS-01,OT,OT,critical,modbus,192.168.13.89,OT Engineering,behind_1_cycle,True
AST-0095,rtu,TAILINGS-01,OT,OT,critical,dnp3,192.168.13.160,OT Engineering,current,True
AST-0096,rtu,TAILINGS-01,OT,OT,critical,dnp3,192.168.13.100,OT Engineering,behind_1_cycle,False
AST-0097,rtu,TAILINGS-01,OT,OT,critical,dnp3,192.168.13.125,OT Engineering,current,False
AST-0098,hmi,TAILINGS-01,OT,OT,critical,http,192.168.13.108,OT Engineering,current,True
AST-0099,historian,TAILINGS-01,OT,OT,high,sql,192.168.13.40,OT Engineering,current,True
AST-0100,historian,TAILINGS-01,OT,OT,high,sql,192.168.13.159,OT Engineering,behind_2_cycles,False
AST-0101,iiot_gateway,TAILINGS-01,OT,OT,high,mqtt,192.168.13.168,OT Engineering,behind_1_cycle,True
AST-0102,sensor_weather,TAILINGS-01,OT,OT,medium,mqtt,192.168.13.59,OT Engineering,behind_1_cycle,True
AST-0103,sensor_modbus,TAILINGS-01,OT,OT,critical,modbus,192.168.13.21,OT Engineering,behind_2_cycles,True
AST-0104,sensor_modbus,TAILINGS-01,OT,OT,critical,modbus,192.168.13.129,OT Engineering,current,False
AST-0105,sensor_modbus,TAILINGS-01,OT,OT,critical,modbus,192.168.13.239,OT Engineering,behind_1_cycle,True
AST-0106,sensor_thermostat,TAILINGS-01,OT,OT,medium,mqtt,192.168.13.44,OT Engineering,current,False
AST-0107,sensor_motion,TAILINGS-01,OT,OT,low,mqtt,192.168.13.186,OT Engineering,behind_1_cycle,True
AST-0108,sensor_motion,TAILINGS-01,OT,OT,low,mqtt,192.168.13.86,OT Engineering,behind_2_cycles,False
AST-0109,sensor_motion,TAILINGS-01,OT,OT,low,mqtt,192.168.13.5,OT Engineering,behind_1_cycle,False
AST-0110,gps_tracker,TAILINGS-01,OT,OT,medium,mqtt,192.168.13.71,OT Engineering,behind_1_cycle,True
AST-0111,gps_tracker,TAILINGS-01,OT,OT,medium,mqtt,192.168.13.130,OT Engineering,current,True
AST-0112,garage_door_ctrl,TAILINGS-01,OT,IT-OT,low,http,192.168.13.33,IT Operations,current,False
AST-0113,garage_door_ctrl,TAILINGS-01,OT,IT-OT,low,http,192.168.13.22,IT Operations,behind_1_cycle,True
AST-0114,garage_door_ctrl,TAILINGS-01,OT,IT-OT,low,http,192.168.13.121,IT Operations,current,False
AST-0115,fridge_unit,TAILINGS-01,OT,IT-OT,low,mqtt,192.168.13.84,IT Operations,current,False
AST-0116,fridge_unit,TAILINGS-01,OT,IT-OT,low,mqtt,192.168.13.179,IT Operations,behind_1_cycle,True
AST-0117,haul_truck_edge,TAILINGS-01,OT,OT,high,mqtt,192.168.13.185,OT Engineering,behind_2_cycles,True
AST-0118,vpn_gateway,TAILINGS-01,OT,IT-OT,critical,ipsec,192.168.13.105,IT Operations,current,False
AST-0119,jump_host,TAILINGS-01,OT,IT-OT,critical,rdp,192.168.13.52,IT Operations,current,True
AST-0120,jump_host,TAILINGS-01,OT,IT-OT,critical,rdp,192.168.13.227,IT Operations,behind_1_cycle,False
AST-0121,laptop,TAILINGS-01,OT,IT,medium,n/a,192.168.13.181,IT Operations,behind_1_cycle,True
AST-0122,laptop,TAILINGS-01,OT,IT,medium,n/a,192.168.13.117,IT Operations,current,False
AST-0123,laptop,TAILINGS-01,OT,IT,medium,n/a,192.168.13.103,IT Operations,behind_2_cycles,False
AST-0124,plc,WORKSHOP-01,IT-OT,OT,critical,modbus,192.168.14.13,OT Engineering,current,True
AST-0125,plc,WORKSHOP-01,IT-OT,OT,critical,modbus,192.168.14.51,OT Engineering,behind_2_cycles,False
AST-0126,plc,WORKSHOP-01,IT-OT,OT,critical,modbus,192.168.14.225,OT Engineering,behind_1_cycle,True
AST-0127,rtu,WORKSHOP-01,IT-OT,OT,critical,dnp3,192.168.14.150,OT Engineering,behind_1_cycle,True
AST-0128,hmi,WORKSHOP-01,IT-OT,OT,critical,http,192.168.14.192,OT Engineering,behind_1_cycle,True
AST-0129,hmi,WORKSHOP-01,IT-OT,OT,critical,http,192.168.14.184,OT Engineering,current,False
AST-0130,hmi,WORKSHOP-01,IT-OT,OT,critical,http,192.168.14.3,OT Engineering,behind_2_cycles,False
AST-0131,historian,WORKSHOP-01,IT-OT,OT,high,sql,192.168.14.206,OT Engineering,current,False
AST-0132,historian,WORKSHOP-01,IT-OT,OT,high,sql,192.168.14.82,OT Engineering,behind_1_cycle,True
AST-0133,iiot_gateway,WORKSHOP-01,IT-OT,OT,high,mqtt,192.168.14.92,OT Engineering,behind_1_cycle,True
AST-0134,iiot_gateway,WORKSHOP-01,IT-OT,OT,high,mqtt,192.168.14.73,OT Engineering,current,True
AST-0135,sensor_weather,WORKSHOP-01,IT-OT,OT,medium,mqtt,192.168.14.2,OT Engineering,behind_1_cycle,False
AST-0136,sensor_weather,WORKSHOP-01,IT-OT,OT,medium,mqtt,192.168.14.49,OT Engineering,behind_2_cycles,False
AST-0137,sensor_weather,WORKSHOP-01,IT-OT,OT,medium,mqtt,192.168.14.127,OT Engineering,current,True
AST-0138,sensor_modbus,WORKSHOP-01,IT-OT,OT,critical,modbus,192.168.14.13,OT Engineering,behind_2_cycles,False
AST-0139,sensor_modbus,WORKSHOP-01,IT-OT,OT,critical,modbus,192.168.14.123,OT Engineering,behind_1_cycle,False
AST-0140,sensor_thermostat,WORKSHOP-01,IT-OT,OT,medium,mqtt,192.168.14.142,OT Engineering,behind_1_cycle,False
AST-0141,sensor_motion,WORKSHOP-01,IT-OT,OT,low,mqtt,192.168.14.167,OT Engineering,current,False
AST-0142,sensor_motion,WORKSHOP-01,IT-OT,OT,low,mqtt,192.168.14.198,OT Engineering,current,False
AST-0143,gps_tracker,WORKSHOP-01,IT-OT,OT,medium,mqtt,192.168.14.202,OT Engineering,current,True
AST-0144,garage_door_ctrl,WORKSHOP-01,IT-OT,IT-OT,low,http,192.168.14.91,IT Operations,current,False
AST-0145,fridge_unit,WORKSHOP-01,IT-OT,IT-OT,low,mqtt,192.168.14.133,IT Operations,current,False
AST-0146,fridge_unit,WORKSHOP-01,IT-OT,IT-OT,low,mqtt,192.168.14.114,IT Operations,current,False
AST-0147,haul_truck_edge,WORKSHOP-01,IT-OT,OT,high,mqtt,192.168.14.100,OT Engineering,behind_2_cycles,False
AST-0148,vpn_gateway,WORKSHOP-01,IT-OT,IT-OT,critical,ipsec,192.168.14.189,IT Operations,behind_1_cycle,False
AST-0149,vpn_gateway,WORKSHOP-01,IT-OT,IT-OT,critical,ipsec,192.168.14.135,IT Operations,behind_1_cycle,False
AST-0150,vpn_gateway,WORKSHOP-01,IT-OT,IT-OT,critical,ipsec,192.168.14.69,IT Operations,unsupported,True
AST-0151,jump_host,WORKSHOP-01,IT-OT,IT-OT,critical,rdp,192.168.14.174,IT Operations,unsupported,False
AST-0152,laptop,WORKSHOP-01,IT-OT,IT,medium,n/a,192.168.14.189,IT Operations,behind_2_cycles,True
AST-0153,laptop,WORKSHOP-01,IT-OT,IT,medium,n/a,192.168.14.39,IT Operations,behind_2_cycles,False
AST-0154,workstation,WORKSHOP-01,IT-OT,IT,medium,n/a,192.168.14.218,IT Operations,behind_1_cycle,True
AST-0155,garage_door_ctrl,CAMP-01,IT,IT-OT,low,http,192.168.15.222,IT Operations,current,False
AST-0156,fridge_unit,CAMP-01,IT,IT-OT,low,mqtt,192.168.15.6,IT Operations,unsupported,True
AST-0157,fridge_unit,CAMP-01,IT,IT-OT,low,mqtt,192.168.15.215,IT Operations,behind_2_cycles,True
AST-0158,fridge_unit,CAMP-01,IT,IT-OT,low,mqtt,192.168.15.76,IT Operations,behind_2_cycles,False
AST-0159,vpn_gateway,CAMP-01,IT,IT-OT,critical,ipsec,192.168.15.48,IT Operations,unsupported,True
AST-0160,vpn_gateway,CAMP-01,IT,IT-OT,critical,ipsec,192.168.15.242,IT Operations,current,False
AST-0161,vpn_gateway,CAMP-01,IT,IT-OT,critical,ipsec,192.168.15.51,IT Operations,current,False
AST-0162,jump_host,CAMP-01,IT,IT-OT,critical,rdp,192.168.15.47,IT Operations,behind_1_cycle,True
AST-0163,laptop,CAMP-01,IT,IT,medium,n/a,192.168.15.235,IT Operations,current,True
AST-0164,laptop,CAMP-01,IT,IT,medium,n/a,192.168.15.142,IT Operations,behind_2_cycles,True
AST-0165,workstation,CAMP-01,IT,IT,medium,n/a,192.168.15.240,IT Operations,behind_1_cycle,True
AST-0166,workstation,CAMP-01,IT,IT,medium,n/a,192.168.15.78,IT Operations,unsupported,True
AST-0167,workstation,CAMP-01,IT,IT,medium,n/a,192.168.15.206,IT Operations,behind_1_cycle,True
AST-0168,garage_door_ctrl,HQ-WHK,IT,IT-OT,low,http,192.168.16.83,IT Operations,behind_1_cycle,False
AST-0169,garage_door_ctrl,HQ-WHK,IT,IT-OT,low,http,192.168.16.71,IT Operations,unsupported,True
AST-0170,garage_door_ctrl,HQ-WHK,IT,IT-OT,low,http,192.168.16.187,IT Operations,current,True
AST-0171,fridge_unit,HQ-WHK,IT,IT-OT,low,mqtt,192.168.16.158,IT Operations,current,True
AST-0172,fridge_unit,HQ-WHK,IT,IT-OT,low,mqtt,192.168.16.175,IT Operations,behind_1_cycle,True
AST-0173,fridge_unit,HQ-WHK,IT,IT-OT,low,mqtt,192.168.16.130,IT Operations,behind_2_cycles,True
AST-0174,vpn_gateway,HQ-WHK,IT,IT-OT,critical,ipsec,192.168.16.99,IT Operations,behind_1_cycle,False
AST-0175,vpn_gateway,HQ-WHK,IT,IT-OT,critical,ipsec,192.168.16.45,IT Operations,current,True
AST-0176,vpn_gateway,HQ-WHK,IT,IT-OT,critical,ipsec,192.168.16.181,IT Operations,behind_1_cycle,True
AST-0177,jump_host,HQ-WHK,IT,IT-OT,critical,rdp,192.168.16.107,IT Operations,behind_1_cycle,True
AST-0178,laptop,HQ-WHK,IT,IT,medium,n/a,192.168.16.134,IT Operations,behind_2_cycles,False
AST-0179,laptop,HQ-WHK,IT,IT,medium,n/a,192.168.16.76,IT Operations,behind_2_cycles,False
AST-0180,workstation,HQ-WHK,IT,IT,medium,n/a,192.168.16.246,IT Operations,current,False
AST-0181,workstation,HQ-WHK,IT,IT,medium,n/a,192.168.16.97,IT Operations,behind_1_cycle,True
AST-0182,garage_door_ctrl,PORT-WVB,IT,IT-OT,low,http,192.168.17.154,IT Operations,current,False
AST-0183,garage_door_ctrl,PORT-WVB,IT,IT-OT,low,http,192.168.17.79,IT Operations,unsupported,True
AST-0184,fridge_unit,PORT-WVB,IT,IT-OT,low,mqtt,192.168.17.77,IT Operations,behind_1_cycle,False
AST-0185,fridge_unit,PORT-WVB,IT,IT-OT,low,mqtt,192.168.17.147,IT Operations,current,True
AST-0186,vpn_gateway,PORT-WVB,IT,IT-OT,critical,ipsec,192.168.17.63,IT Operations,current,True
AST-0187,vpn_gateway,PORT-WVB,IT,IT-OT,critical,ipsec,192.168.17.238,IT Operations,current,False
AST-0188,vpn_gateway,PORT-WVB,IT,IT-OT,critical,ipsec,192.168.17.18,IT Operations,behind_1_cycle,False
AST-0189,jump_host,PORT-WVB,IT,IT-OT,critical,rdp,192.168.17.112,IT Operations,current,False
AST-0190,laptop,PORT-WVB,IT,IT,medium,n/a,192.168.17.82,IT Operations,current,False
AST-0191,laptop,PORT-WVB,IT,IT,medium,n/a,192.168.17.33,IT Operations,current,False
AST-0192,workstation,PORT-WVB,IT,IT,medium,n/a,192.168.17.52,IT Operations,behind_2_cycles,False
AST-0193,workstation,PORT-WVB,IT,IT,medium,n/a,192.168.17.182,IT Operations,behind_1_cycle,True
AST-0194,workstation,PORT-WVB,IT,IT,medium,n/a,192.168.17.24,IT Operations,current,True
