username,user_role,employment_type,home_site,privileged_account,account_created,mfa_enrolled
main032,maintenance_engineer,employee,PIT-B,False,2018-12-04,True
main033,maintenance_engineer,employee,TAILINGS-01,True,2015-12-04,True
main034,maintenance_engineer,employee,TAILINGS-01,False,2015-06-08,True
main035,maintenance_engineer,employee,WORKSHOP-01,False,2017-06-10,True
main036,maintenance_engineer,employee,PIT-B,False,2016-03-19,True
main037,maintenance_engineer,employee,TAILINGS-01,True,2018-11-15,True
main038,maintenance_engineer,employee,WORKSHOP-01,False,2018-03-17,False
main039,maintenance_engineer,employee,TAILINGS-01,False,2018-10-21,True
main040,maintenance_engineer,employee,PIT-A,False,2018-03-01,True
main041,maintenance_engineer,employee,PLANT-01,False,2014-11-02,True
main042,maintenance_engineer,employee,TAILINGS-01,False,2017-02-07,True
main043,maintenance_engineer,employee,PLANT-01,False,2018-09-28,False
main044,maintenance_engineer,employee,PIT-A,False,2015-12-12,True
main045,maintenance_engineer,employee,WORKSHOP-01,False,2018-02-13,True
main046,maintenance_engineer,employee,PLANT-01,False,2018-05-21,True
main047,maintenance_engineer,employee,TAILINGS-01,True,2016-01-19,True
main048,maintenance_engineer,employee,PLANT-01,False,2015-04-09,True
main049,maintenance_engineer,employee,PIT-B,True,2017-08-08,True
main050,maintenance_engineer,employee,PLANT-01,False,2017-06-09,True
ot051,ot_network_admin,employee,PIT-B,True,2018-08-12,True
ot052,ot_network_admin,employee,PORT-WVB,True,2016-04-12,True
ot053,ot_network_admin,employee,TAILINGS-01,True,2018-07-18,True
ot054,ot_network_admin,employee,PLANT-01,True,2017-12-01,True
ot055,ot_network_admin,employee,TAILINGS-01,True,2017-03-01,True
ot056,ot_network_admin,employee,WORKSHOP-01,True,2017-02-07,True
ot057,ot_network_admin,employee,PIT-A,True,2015-11-01,True
ot058,ot_network_admin,employee,PLANT-01,True,2018-07-27,True
it059,it_service_desk,employee,CAMP-01,True,2016-01-12,False
it060,it_service_desk,employee,HQ-WHK,True,2017-05-07,True
it061,it_service_desk,employee,CAMP-01,True,2016-04-14,True
it062,it_service_desk,employee,PORT-WVB,False,2017-09-19,False
it063,it_service_desk,employee,CAMP-01,False,2018-08-07,True
it064,it_service_desk,employee,PORT-WVB,False,2015-12-02,True
it065,it_service_desk,employee,PORT-WVB,False,2016-03-07,True
it066,it_service_desk,employee,PORT-WVB,True,2018-08-06,True
it067,it_service_desk,employee,HQ-WHK,False,2015-11-10,True
it068,it_service_desk,employee,HQ-WHK,True,2016-02-05,False
vend069,vendor_technician,vendor,WORKSHOP-01,False,2016-04-17,True
vend070,vendor_technician,vendor,PIT-B,True,2018-12-13,False
vend071,vendor_technician,vendor,TAILINGS-01,False,2018-02-23,True
vend072,vendor_technician,vendor,TAILINGS-01,True,2015-07-05,True
vend073,vendor_technician,vendor,PIT-B,True,2016-02-25,True
vend074,vendor_technician,vendor,PLANT-01,True,2014-11-12,True
vend075,vendor_technician,vendor,PIT-A,True,2014-05-12,True
vend076,vendor_technician,vendor,PLANT-01,True,2014-12-06,False
vend077,vendor_technician,vendor,PIT-A,False,2017-03-04,True
cont078,contractor_surveyor,contractor,TAILINGS-01,False,2018-10-11,True
cont079,contractor_surveyor,contractor,CAMP-01,False,2016-02-12,True
cont080,contractor_surveyor,contractor,TAILINGS-01,False,2016-09-27,False
cont081,contractor_surveyor,contractor,PORT-WVB,False,2017-10-10,True
cont082,contractor_surveyor,contractor,PIT-A,False,2017-12-02,True
cont083,contractor_surveyor,contractor,PORT-WVB,False,2015-07-19,True
cont084,contractor_surveyor,contractor,PIT-B,False,2017-01-03,True
cont085,contractor_surveyor,contractor,PIT-B,False,2017-08-06,False
cont086,contractor_surveyor,contractor,PORT-WVB,False,2015-09-06,True
cont087,contractor_surveyor,contractor,PIT-B,False,2016-09-12,True
cont088,contractor_surveyor,contractor,CAMP-01,False,2015-08-25,True
cont089,contractor_surveyor,contractor,PIT-B,False,2014-12-01,False
mine090,mine_planner,employee,CAMP-01,False,2015-02-10,True
mine091,mine_planner,employee,PORT-WVB,False,2018-10-31,False
mine092,mine_planner,employee,PORT-WVB,False,2015-02-26,True
mine093,mine_planner,employee,HQ-WHK,False,2016-05-11,True
mine094,mine_planner,employee,HQ-WHK,False,2018-10-24,True
mine095,mine_planner,employee,HQ-WHK,False,2018-12-06,False
mine096,mine_planner,employee,CAMP-01,False,2018-01-11,True
mine097,mine_planner,employee,HQ-WHK,False,2017-05-22,True
mine098,mine_planner,employee,PORT-WVB,False,2014-07-18,False
mine099,mine_planner,employee,CAMP-01,False,2014-06-30,True
mine100,mine_planner,employee,CAMP-01,False,2015-09-06,True
mine101,mine_planner,employee,HQ-WHK,False,2015-10-26,True
mine102,mine_planner,employee,CAMP-01,False,2017-09-09,True
mine103,mine_planner,employee,PORT-WVB,False,2018-08-27,True
supe104,supervisor,employee,PIT-A,False,2017-07-26,True
supe105,supervisor,employee,PLANT-01,False,2018-06-16,False
supe106,supervisor,employee,PLANT-01,True,2018-07-03,True
supe107,supervisor,employee,HQ-WHK,False,2018-11-27,False
supe108,supervisor,employee,PIT-A,False,2014-06-11,False
supe109,supervisor,employee,TAILINGS-01,False,2016-10-21,True
supe110,supervisor,employee,PIT-A,False,2017-01-28,True
supe111,supervisor,employee,PIT-B,False,2018-01-02,False
supe112,supervisor,employee,PIT-B,True,2014-12-19,False
supe113,supervisor,employee,TAILINGS-01,False,2018-12-15,True
supe114,supervisor,employee,PIT-B,False,2016-07-16,True
